t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-06-17T22:37:44,5.045,1.000,373,,,0.000,0.000000
2026-06-17T22:37:49,10.058,1.000,378,0.997486,,0.000,0.000000
2026-06-17T22:37:54,15.070,1.000,383,0.997481,,0.000,0.000000
2026-06-17T22:37:59,20.084,1.000,389,1.196795,,0.000,0.000000
2026-06-17T22:38:04,25.096,1.000,394,0.997475,,0.000,0.000000
2026-06-17T22:38:09,30.109,1.000,399,0.997467,,0.000,0.000000
2026-06-17T22:38:14,35.121,1.000,404,0.997574,,0.000,0.000000
2026-06-17T22:38:19,40.133,1.000,409,0.997575,,0.000,0.000000
2026-06-17T22:38:24,45.146,1.000,414,0.997552,,0.000,0.000000
2026-06-17T22:38:29,50.160,1.000,419,0.997098,,0.000,0.000000
2026-06-17T22:38:34,55.173,1.000,424,0.997450,,0.000,0.000000
2026-06-17T22:38:39,60.187,1.000,429,0.997288,,0.000,0.000000
2026-06-17T22:38:44,65.206,2.000,434,0.996188,,0.000,0.000000
2026-06-17T22:38:49,70.218,2.000,443,1.795782,,0.000,0.000000
2026-06-17T22:38:54,75.229,2.000,453,1.995222,,0.000,0.000000
2026-06-17T22:38:59,80.241,2.000,463,1.995297,,0.000,0.000000
2026-06-17T22:39:04,85.253,2.000,473,1.995175,,0.000,0.000000
2026-06-17T22:39:09,90.266,2.000,483,1.995000,,0.000,0.000000
2026-06-17T22:39:14,95.278,2.000,493,1.995175,,0.000,0.000000
2026-06-17T22:39:19,100.295,2.000,503,1.993060,,0.000,0.000000
2026-06-17T22:39:24,105.310,2.000,513,1.994360,,0.000,0.000000
2026-06-17T22:39:29,110.322,2.000,523,1.995183,,0.000,0.000000
2026-06-17T22:39:34,115.334,2.000,533,1.995135,,0.000,0.000000
2026-06-17T22:39:39,120.346,2.000,543,1.995034,,0.000,0.000000
2026-06-17T22:39:44,125.364,4.000,553,1.993029,,0.000,0.000000
2026-06-17T22:39:49,130.377,4.000,573,3.989896,,0.000,0.000000
2026-06-17T22:39:54,135.392,4.000,593,3.988045,,0.000,0.000000
2026-06-17T22:39:59,140.406,4.000,613,3.988177,,0.000,0.000000
2026-06-17T22:40:04,145.419,4.000,633,3.989850,,0.000,0.000000
2026-06-17T22:40:09,150.431,4.000,653,3.990452,,0.000,0.000000
2026-06-17T22:40:14,155.443,4.000,673,3.990640,,0.000,0.000000
2026-06-17T22:40:19,160.462,4.000,693,3.984725,,0.000,0.000000
2026-06-17T22:40:24,165.475,4.000,713,3.989891,,0.000,0.000000
2026-06-17T22:40:29,170.483,4.000,733,3.993330,,0.000,0.000000
2026-06-17T22:40:34,175.497,4.000,753,3.988604,,0.000,0.000000
2026-06-17T22:40:39,180.519,4.000,773,3.982510,,0.000,0.000000
2026-06-17T22:40:44,185.539,8.000,793,3.984373,,0.000,0.000000
2026-06-17T22:40:49,190.549,8.000,833,7.984133,,0.000,0.000000
2026-06-17T22:40:54,195.561,8.000,873,7.979927,,0.000,0.000000
2026-06-17T22:40:59,200.569,8.000,913,7.988488,,0.000,0.000000
2026-06-17T22:41:04,205.582,8.000,953,7.979194,,0.000,0.000000
2026-06-17T22:41:09,210.596,8.000,994,8.176203,,0.000,0.000000
2026-06-17T22:41:14,215.608,8.000,1034,7.980493,,0.000,0.000000
2026-06-17T22:41:19,220.620,8.000,1074,7.980980,,0.000,0.000000
2026-06-17T22:41:24,225.633,8.000,1114,7.979502,,0.000,0.000000
2026-06-17T22:41:29,230.646,8.000,1154,7.979138,,0.000,0.000000
2026-06-17T22:41:34,235.660,8.000,1194,7.977827,,0.000,0.000000
2026-06-17T22:41:39,240.674,8.000,1234,7.978673,,0.000,0.000000
