t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-06-23T17:49:07,0.033,32.000,196120,32.000000,,0.000,0.000000
2026-06-23T17:49:12,5.043,32.000,196280,31.931461,,0.000,0.000000
2026-06-23T17:49:17,10.057,32.000,196441,32.115634,,0.000,0.000000
2026-06-23T17:49:22,15.067,32.000,196601,31.934493,,0.000,0.000000
2026-06-23T17:49:27,20.077,32.000,196761,31.934537,,0.000,0.000000
2026-06-23T17:49:32,25.088,32.000,196922,32.131641,,0.000,0.000000
2026-06-23T17:49:37,30.100,32.000,197082,31.920500,,0.000,0.000000
2026-06-23T17:49:42,35.111,32.000,197242,31.928257,,0.000,0.000000
2026-06-23T17:49:47,40.121,32.000,197403,32.136253,,0.000,0.000000
2026-06-23T17:49:52,45.131,32.000,197563,31.938345,,0.000,0.000000
2026-06-23T17:49:57,50.142,32.000,197723,31.927823,,0.000,0.000000
2026-06-23T17:50:02,55.153,32.000,197884,32.133218,,0.000,0.000000
2026-06-23T17:50:07,60.164,32.000,198044,31.930796,,0.000,0.000000
2026-06-23T17:50:12,65.174,32.000,198204,31.930809,,0.000,0.000000
2026-06-23T17:50:17,70.185,32.000,198365,32.135109,,0.000,0.000000
2026-06-23T17:50:22,75.195,32.000,198525,31.935593,,0.000,0.000000
2026-06-23T17:50:27,80.205,32.000,198685,31.933839,,0.000,0.000000
2026-06-23T17:50:32,85.216,32.000,198846,32.128772,,0.000,0.000000
2026-06-23T17:50:37,90.228,32.000,199006,31.926255,,0.000,0.000000
2026-06-23T17:50:42,95.239,32.000,199166,31.926816,,1.000,0.000000
2026-06-23T17:50:47,100.253,32.000,199327,32.114011,,0.000,0.000000
2026-06-23T17:50:52,105.267,32.000,199487,31.909775,,0.000,0.000000
2026-06-23T17:50:57,110.278,32.000,199648,32.129848,,0.000,0.000000
2026-06-23T17:51:02,115.289,32.000,199808,31.926372,,0.000,0.000000
2026-06-23T17:51:07,120.300,32.000,199968,31.933684,,0.000,0.000000
2026-06-23T17:51:12,125.311,32.000,200129,32.128766,,0.000,0.000000
2026-06-23T17:51:17,130.318,32.000,200289,31.955522,,0.000,0.000000
2026-06-23T17:51:22,135.329,32.000,200449,31.930541,,0.000,0.000000
2026-06-23T17:51:27,140.340,32.000,200610,32.127187,,0.000,0.000000
2026-06-23T17:51:32,145.352,32.000,200770,31.924975,,0.000,0.000000
2026-06-23T17:51:37,150.365,32.000,200931,32.116332,,1.000,0.000000
2026-06-23T17:51:42,155.376,32.000,201091,31.929790,,0.000,0.000000
2026-06-23T17:51:47,160.387,32.000,201251,31.928523,,0.000,0.000000
2026-06-23T17:51:52,165.398,32.000,201412,32.131771,,0.000,0.000000
2026-06-23T17:51:57,170.408,32.000,201572,31.934740,,0.000,0.000000
2026-06-23T17:52:02,175.420,32.000,201732,31.923096,,0.000,0.000000
2026-06-23T17:52:07,180.431,32.000,201893,32.127859,,0.000,0.000000
2026-06-23T17:52:12,185.443,32.000,202053,31.926146,,0.000,0.000000
2026-06-23T17:52:17,190.454,32.000,202213,31.924791,,0.000,0.000000
2026-06-23T17:52:22,195.464,32.000,202374,32.135106,,0.000,0.000000
2026-06-23T17:52:27,200.475,32.000,202534,31.932765,,0.000,0.000000
2026-06-23T17:52:32,205.488,32.000,202694,31.920652,,0.000,0.000000
2026-06-23T17:52:37,210.501,32.000,202855,32.110671,,0.000,0.000000
2026-06-23T17:52:42,215.514,32.000,203015,31.922336,,0.000,0.000000
2026-06-23T17:52:47,220.524,32.000,203176,32.135349,,0.000,0.000000
2026-06-23T17:52:52,225.534,32.000,203336,31.934398,,0.000,0.000000
2026-06-23T17:52:57,230.545,32.000,203496,31.928622,,0.000,0.000000
2026-06-23T17:53:02,235.555,32.000,203657,32.136116,,0.000,0.000000
2026-06-23T17:53:07,240.571,32.000,203817,31.900064,,0.000,0.000000
2026-06-23T17:53:13,245.582,32.000,203977,31.931174,,0.000,0.000000
2026-06-23T17:53:18,250.588,32.000,204138,32.157266,,0.000,0.000000
2026-06-23T17:53:23,255.599,32.000,204298,31.931516,,0.000,0.000000
2026-06-23T17:53:28,260.610,32.000,204458,31.929596,,0.000,0.000000
2026-06-23T17:53:33,265.620,32.000,204619,32.133004,,0.000,0.000000
2026-06-23T17:53:38,270.631,32.000,204779,31.934549,,0.000,0.000000
2026-06-23T17:53:43,275.643,32.000,204939,31.922664,,0.000,0.000000
2026-06-23T17:53:48,280.654,32.000,205100,32.129079,,0.000,0.000000
2026-06-23T17:53:53,285.663,32.000,205260,31.939181,,0.000,0.000000
2026-06-23T17:53:58,290.675,32.000,205420,31.924914,,0.000,0.000000
2026-06-23T17:54:03,295.685,32.000,205581,32.134057,,0.000,0.000000
2026-06-23T17:54:08,300.697,32.000,205741,31.928714,,0.000,0.000000
2026-06-23T17:54:13,305.708,32.000,205901,31.927057,,1.000,0.000000
2026-06-23T17:54:18,310.719,32.000,206062,32.131358,,0.000,0.000000
2026-06-23T17:54:23,315.730,32.000,206222,31.930223,,0.000,0.000000
2026-06-23T17:54:28,320.741,32.000,206383,32.126282,,1.000,0.000000
2026-06-23T17:54:33,325.753,32.000,206543,31.926497,,0.000,0.000000
2026-06-23T17:54:38,330.764,32.000,206703,31.926260,,0.000,0.000000
2026-06-23T17:54:43,335.776,32.000,206864,32.123245,,0.000,0.000000
2026-06-23T17:54:48,340.785,32.000,207024,31.945438,,0.000,0.000000
2026-06-23T17:54:53,345.795,32.000,207184,31.936441,,0.000,0.000000
2026-06-23T17:54:58,350.806,32.000,207345,32.129720,,0.000,0.000000
2026-06-23T17:55:03,355.817,32.000,207505,31.928374,,0.000,0.000000
2026-06-23T17:55:08,360.827,32.000,207665,31.934573,,0.000,0.000000
