t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-06-23T18:12:39,0.033,64.000,241306,32.000000,,0.000,0.000000
2026-06-23T18:12:44,5.045,64.000,241627,64.035416,,0.000,0.000000
2026-06-23T18:12:49,10.057,64.000,241948,64.056797,,0.000,0.000000
2026-06-23T18:12:54,15.068,64.000,242268,63.855248,,0.000,0.000000
2026-06-23T18:12:59,20.080,64.000,242589,64.046510,,0.000,0.000000
2026-06-23T18:13:04,25.091,64.000,242910,64.054615,,0.000,0.000000
2026-06-23T18:13:09,30.102,64.000,243231,64.058093,,0.000,0.000000
2026-06-23T18:13:14,35.114,64.000,243551,63.847483,,0.000,0.000000
2026-06-23T18:13:19,40.133,64.000,243872,63.963301,,0.000,0.000000
2026-06-23T18:13:24,45.144,64.000,244193,64.052869,,0.000,0.000000
2026-06-23T18:13:29,50.159,64.000,244514,64.013590,,0.000,0.000000
2026-06-23T18:13:34,55.169,64.000,244835,64.065521,,0.000,0.000000
2026-06-23T18:13:39,60.178,64.000,245156,64.093955,,1.000,0.000000
2026-06-23T18:13:44,65.189,64.000,245476,63.859565,,0.000,0.000000
2026-06-23T18:13:49,70.198,64.000,245797,64.076375,,0.000,0.000000
2026-06-23T18:13:54,75.209,64.000,246117,63.859957,,1.000,0.000000
2026-06-23T18:13:59,80.217,64.000,246438,64.101004,,0.000,0.000000
2026-06-23T18:14:04,85.227,64.000,246759,64.075714,,0.000,0.000000
2026-06-23T18:14:09,90.234,64.000,247079,63.907069,,0.000,0.000000
2026-06-23T18:14:14,95.245,64.000,247400,64.059275,,0.000,0.000000
2026-06-23T18:14:19,100.258,64.000,247721,64.036135,,1.000,0.000000
2026-06-23T18:14:24,105.272,64.000,248041,63.820033,,0.000,0.000000
2026-06-23T18:14:29,110.282,64.000,248362,64.066631,,0.000,0.000000
2026-06-23T18:14:34,115.294,64.000,248683,64.052912,,0.000,0.000000
2026-06-23T18:14:39,120.304,64.000,249004,64.073293,,1.000,0.000000
2026-06-23T18:14:44,125.314,64.000,249324,63.870818,,0.000,0.000000
2026-06-23T18:14:49,130.326,64.000,249645,64.051157,,0.000,0.000000
2026-06-23T18:14:54,135.336,64.000,249966,64.069475,,0.000,0.000000
2026-06-23T18:14:59,140.351,64.000,250286,63.811321,,0.000,0.000000
2026-06-23T18:15:04,145.361,64.000,250607,64.069021,,0.000,0.000000
2026-06-23T18:15:09,150.373,64.000,250928,64.047113,,0.000,0.000000
2026-06-23T18:15:14,155.385,64.000,251249,64.044295,,1.000,0.000000
2026-06-23T18:15:19,160.395,64.000,251569,63.876624,,0.000,0.000000
2026-06-23T18:15:24,165.404,64.000,251890,64.084018,,0.000,0.000000
2026-06-23T18:15:29,170.414,64.000,252211,64.061540,,0.000,0.000000
2026-06-23T18:15:34,175.425,64.000,252531,63.867742,,0.000,0.000000
2026-06-23T18:15:39,180.435,64.000,252852,64.068134,,0.000,0.000000
2026-06-23T18:15:44,185.446,64.000,253173,64.061717,,0.000,0.000000
2026-06-23T18:15:49,190.457,64.000,253493,63.863199,,0.000,0.000000
2026-06-23T18:15:54,195.467,64.000,253814,64.060781,,0.000,0.000000
2026-06-23T18:15:59,200.479,64.000,254135,64.050492,,1.000,0.000000
2026-06-23T18:16:04,205.490,64.000,254455,63.866256,,1.000,0.000000
2026-06-23T18:16:10,210.500,64.000,254776,64.072576,,0.000,0.000000
2026-06-23T18:16:15,215.511,64.000,255097,64.054207,,0.000,0.000000
2026-06-23T18:16:20,220.523,64.000,255418,64.047229,,1.000,0.000000
2026-06-23T18:16:25,225.536,64.000,255738,63.828157,,0.000,0.000000
2026-06-23T18:16:30,230.548,64.000,256059,64.056383,,0.000,0.000000
2026-06-23T18:16:35,235.560,64.000,256380,64.047290,,0.000,0.000000
2026-06-23T18:16:40,240.570,64.000,256701,64.065064,,1.000,0.000000
2026-06-23T18:16:45,245.581,64.000,257021,63.861528,,0.000,0.000000
2026-06-23T18:16:50,250.592,64.000,257342,64.059388,,0.000,0.000000
2026-06-23T18:16:55,255.616,64.000,257663,63.898289,,0.000,0.000000
2026-06-23T18:17:00,260.626,64.000,257984,64.065286,,0.000,0.000000
2026-06-23T18:17:05,265.637,64.000,258305,64.063939,,0.000,0.000000
2026-06-23T18:17:10,270.647,64.000,258626,64.070247,,1.000,0.000000
2026-06-23T18:17:15,275.658,64.000,258946,63.863503,,0.000,0.000000
2026-06-23T18:17:20,280.667,64.000,259267,64.081081,,0.000,0.000000
2026-06-23T18:17:25,285.678,64.000,259587,63.858517,,1.000,0.000000
2026-06-23T18:17:30,290.691,64.000,259908,64.031031,,0.000,0.000000
2026-06-23T18:17:35,295.702,64.000,260229,64.060751,,0.000,0.000000
2026-06-23T18:17:40,300.710,64.000,260550,64.095215,,0.000,0.000000
2026-06-23T18:17:45,305.722,64.000,260870,63.853647,,0.000,0.000000
2026-06-23T18:17:50,310.729,64.000,261191,64.100421,,0.000,0.000000
2026-06-23T18:17:55,315.741,64.000,261512,64.056740,,1.000,0.000000
2026-06-23T18:18:00,320.746,64.000,261832,63.925012,,0.000,0.000000
2026-06-23T18:18:05,325.757,64.000,262153,64.063000,,1.000,0.000000
2026-06-23T18:18:10,330.769,64.000,262473,63.853440,,0.000,0.000000
2026-06-23T18:18:15,335.781,64.000,262794,64.044484,,0.000,0.000000
2026-06-23T18:18:20,340.790,64.000,263115,64.082100,,0.000,0.000000
2026-06-23T18:18:25,345.801,64.000,263435,63.855870,,0.000,0.000000
2026-06-23T18:18:30,350.811,64.000,263756,64.071058,,0.000,0.000000
2026-06-23T18:18:35,355.821,64.000,264077,64.074878,,0.000,0.000000
2026-06-23T18:18:40,360.831,64.000,264397,63.877840,,0.000,0.000000
2026-06-23T18:18:45,365.842,64.000,264718,64.059952,,0.000,0.000000
2026-06-23T18:18:50,370.852,64.000,265039,64.068262,,0.000,0.000000
2026-06-23T18:18:55,375.866,64.000,265359,63.818968,,0.000,0.000000
2026-06-23T18:19:00,380.879,64.000,265680,64.035952,,0.000,0.000000
2026-06-23T18:19:05,385.889,64.000,266001,64.074046,,0.000,0.000000
2026-06-23T18:19:10,390.899,64.000,266322,64.064799,,0.000,0.000000
2026-06-23T18:19:15,395.910,64.000,266642,63.859404,,0.000,0.000000
2026-06-23T18:19:20,400.922,64.000,266963,64.050054,,0.000,0.000000
2026-06-23T18:19:25,405.933,64.000,267284,64.062515,,0.000,0.000000
2026-06-23T18:19:30,410.947,64.000,267605,64.021790,,0.000,0.000000
2026-06-23T18:19:35,415.959,64.000,267926,64.044225,,1.000,0.000000
2026-06-23T18:19:40,420.966,64.000,268246,63.912312,,0.000,0.000000
2026-06-23T18:19:45,425.978,64.000,268567,64.042934,,0.000,0.000000
2026-06-23T18:19:50,430.987,64.000,268887,63.889656,,0.000,0.000000
2026-06-23T18:19:55,435.997,64.000,269208,64.074369,,0.000,0.000000
2026-06-23T18:20:00,441.009,64.000,269529,64.042900,,0.000,0.000000
2026-06-23T18:20:05,446.019,64.000,269849,63.871949,,0.000,0.000000
2026-06-23T18:20:10,451.028,64.000,270170,64.078724,,0.000,0.000000
2026-06-23T18:20:15,456.040,64.000,270491,64.048585,,0.000,0.000000
2026-06-23T18:20:20,461.052,64.000,270811,63.847842,,0.000,0.000000
2026-06-23T18:20:25,466.062,64.000,271132,64.070487,,0.000,0.000000
2026-06-23T18:20:30,471.073,64.000,271453,64.059394,,0.000,0.000000
2026-06-23T18:20:35,476.084,64.000,271773,63.863728,,1.000,0.000000
2026-06-23T18:20:40,481.096,64.000,272094,64.045898,,0.000,0.000000
2026-06-23T18:20:45,486.106,64.000,272415,64.065734,,0.000,0.000000
2026-06-23T18:20:50,491.121,64.000,272736,64.017501,,0.000,0.000000
2026-06-23T18:20:55,496.133,64.000,273057,64.043976,,1.000,0.000000
2026-06-23T18:21:00,501.143,64.000,273377,63.869626,,0.000,0.000000
2026-06-23T18:21:05,506.153,64.000,273698,64.072170,,0.000,0.000000
2026-06-23T18:21:10,511.165,64.000,274019,64.047031,,0.000,0.000000
2026-06-23T18:21:15,516.179,64.000,274340,64.024542,,1.000,0.000000
2026-06-23T18:21:20,521.189,64.000,274660,63.870946,,0.000,0.000000
2026-06-23T18:21:25,526.200,64.000,274981,64.058291,,0.000,0.000000
2026-06-23T18:21:30,531.211,64.000,275302,64.062268,,1.000,0.000000
2026-06-23T18:21:35,536.221,64.000,275622,63.868940,,0.000,0.000000
2026-06-23T18:21:40,541.234,64.000,275943,64.032556,,0.000,0.000000
2026-06-23T18:21:45,546.246,64.000,276264,64.048990,,0.000,0.000000
2026-06-23T18:21:50,551.256,64.000,276585,64.070042,,1.000,0.000000
2026-06-23T18:21:55,556.268,64.000,276905,63.851280,,0.000,0.000000
2026-06-23T18:22:00,561.277,64.000,277226,64.074381,,0.000,0.000000
2026-06-23T18:22:05,566.288,64.000,277547,64.059068,,1.000,0.000000
2026-06-23T18:22:10,571.302,64.000,277867,63.829502,,0.000,0.000000
2026-06-23T18:22:15,576.313,64.000,278188,64.056173,,0.000,0.000000
