t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-06-24T02:29:51,30.042,32.000,2242258,32.000000,,0.000,0.000000
2026-06-24T02:29:56,35.054,32.000,2242418,31.923412,,0.000,0.000000
2026-06-24T02:30:01,40.067,32.000,2242579,32.114846,,0.000,0.000000
2026-06-24T02:30:06,45.079,32.000,2242739,31.928762,,0.000,0.000000
2026-06-24T02:30:11,50.089,32.000,2242899,31.935638,,0.000,0.000000
2026-06-24T02:30:16,55.103,32.000,2243060,32.107211,,0.000,0.000000
2026-06-24T02:30:21,60.117,32.000,2243220,31.911453,,0.000,0.000000
2026-06-24T02:30:26,65.128,32.000,2243381,32.127217,,1.000,0.000000
2026-06-24T02:30:31,70.139,32.000,2243541,31.932207,,0.000,0.000000
2026-06-24T02:30:36,75.150,32.000,2243701,31.930650,,0.000,0.000000
2026-06-24T02:30:41,80.161,32.000,2243862,32.129686,,0.000,0.000000
2026-06-24T02:30:46,85.172,32.000,2244022,31.930703,,0.000,0.000000
2026-06-24T02:30:51,90.183,32.000,2244182,31.927583,,0.000,0.000000
2026-06-24T02:30:56,95.196,32.000,2244343,32.119346,,0.000,0.000000
2026-06-24T02:31:01,100.207,32.000,2244503,31.929269,,0.000,0.000000
2026-06-24T02:31:06,105.219,32.000,2244663,31.920380,,0.000,0.000000
2026-06-24T02:31:11,110.231,32.000,2244824,32.124002,,0.000,0.000000
2026-06-24T02:31:16,115.242,32.000,2244984,31.929855,,0.000,0.000000
2026-06-24T02:31:21,120.255,32.000,2245145,32.116824,,1.000,0.000000
2026-06-24T02:31:26,125.267,32.000,2245305,31.924899,,0.000,0.000000
2026-06-24T02:31:31,130.278,32.000,2245465,31.928187,,0.000,0.000000
2026-06-24T02:31:36,135.300,32.000,2245626,32.055868,,0.000,0.000000
2026-06-24T02:31:41,140.312,32.000,2245786,31.927329,,0.000,0.000000
2026-06-24T02:31:46,145.323,32.000,2245947,32.129950,,0.000,0.000000
2026-06-24T02:31:51,150.336,32.000,2246107,31.914466,,0.000,0.000000
2026-06-24T02:31:56,155.347,32.000,2246268,32.131351,,0.000,0.000000
2026-06-24T02:32:01,160.359,32.000,2246428,31.921312,,0.000,0.000000
2026-06-24T02:32:06,165.372,32.000,2246588,31.920468,,0.000,0.000000
2026-06-24T02:32:11,170.388,32.000,2246749,32.097052,,0.000,0.000000
2026-06-24T02:32:16,175.397,32.000,2246909,31.942090,,0.000,0.000000
2026-06-24T02:32:21,180.415,32.000,2247070,32.085009,,0.000,0.000000
2026-06-24T02:32:26,185.424,32.000,2247230,31.942949,,0.000,0.000000
2026-06-24T02:32:31,190.434,32.000,2247390,31.933898,,0.000,0.000000
2026-06-24T02:32:36,195.444,32.000,2247551,32.139613,,0.000,0.000000
2026-06-24T02:32:41,200.454,32.000,2247711,31.934717,,0.000,0.000000
2026-06-24T02:32:46,205.460,32.000,2247871,31.957965,,0.000,0.000000
2026-06-24T02:32:51,210.471,32.000,2248032,32.132074,,1.000,0.000000
2026-06-24T02:32:56,215.483,32.000,2248192,31.922331,,0.000,0.000000
2026-06-24T02:33:01,220.495,32.000,2248352,31.923830,,0.000,0.000000
2026-06-24T02:33:06,225.507,32.000,2248513,32.125599,,0.000,0.000000
2026-06-24T02:33:11,230.518,32.000,2248673,31.927408,,0.000,0.000000
2026-06-24T02:33:16,235.526,32.000,2248833,31.950674,,0.000,0.000000
2026-06-24T02:33:21,240.549,32.000,2248994,32.053891,,0.000,0.000000
2026-06-24T02:33:26,245.560,32.000,2249154,31.924545,,0.000,0.000000
2026-06-24T02:33:31,250.570,32.000,2249315,32.140169,,0.000,0.000000
2026-06-24T02:33:36,255.580,32.000,2249475,31.931271,,0.000,0.000000
2026-06-24T02:33:41,260.592,32.000,2249635,31.924756,,0.000,0.000000
2026-06-24T02:33:46,265.606,32.000,2249796,32.113719,,0.000,0.000000
2026-06-24T02:33:51,270.615,32.000,2249956,31.940414,,0.000,0.000000
2026-06-24T02:33:56,275.629,32.000,2250117,32.111718,,1.000,0.000000
2026-06-24T02:34:01,280.637,32.000,2250277,31.950690,,0.000,0.000000
2026-06-24T02:34:06,285.647,32.000,2250437,31.930694,,0.000,0.000000
2026-06-24T02:34:11,290.657,32.000,2250598,32.137591,,1.000,0.000000
2026-06-24T02:34:16,295.671,32.000,2250758,31.910015,,0.000,0.000000
2026-06-24T02:34:51,330.693,128.000,2254759,114.241655,,1.000,0.000000
2026-06-24T02:34:56,335.702,128.000,2255400,127.971419,,0.000,0.000000
2026-06-24T02:35:01,340.715,128.000,2256041,127.883181,,0.000,0.000000
2026-06-24T02:35:06,345.737,128.000,2256684,128.030449,,0.000,0.000000
2026-06-24T02:35:11,350.748,128.000,2257326,128.121580,,0.000,0.000000
2026-06-24T02:35:16,355.762,128.000,2257967,127.835199,,0.000,0.000000
2026-06-24T02:35:21,360.772,128.000,2258609,128.142981,,0.000,0.000000
2026-06-24T02:35:26,365.784,128.000,2259250,127.899169,,0.000,0.000000
2026-06-24T02:35:31,370.795,128.000,2259892,128.119825,,1.000,0.000000
2026-06-24T02:35:37,375.807,128.000,2260533,127.891485,,0.000,0.000000
2026-06-24T02:35:42,380.819,128.000,2261175,128.103581,,1.000,0.000000
2026-06-24T02:35:47,385.835,128.000,2261816,127.786014,,0.000,0.000000
2026-06-24T02:35:52,390.846,128.000,2262458,128.119002,,0.000,0.000000
2026-06-24T02:35:57,395.857,128.000,2263100,128.109194,,1.000,0.000000
2026-06-24T02:36:02,400.869,128.000,2263741,127.898993,,0.000,0.000000
2026-06-24T02:36:07,405.881,128.000,2264383,128.082011,,1.000,0.000000
2026-06-24T02:36:12,410.892,128.000,2265024,127.923195,,0.000,0.000000
2026-06-24T02:36:17,415.907,128.000,2265666,128.017021,,0.000,0.000000
2026-06-24T02:36:22,420.920,128.000,2266308,128.067580,,1.000,0.000000
2026-06-24T02:36:27,425.932,128.000,2266949,127.892842,,0.000,0.000000
2026-06-24T02:36:32,430.944,128.000,2267591,128.098663,,0.000,0.000000
2026-06-24T02:36:37,435.955,128.000,2268232,127.920285,,0.000,0.000000
2026-06-24T02:36:42,440.967,128.000,2268874,128.088908,,1.000,0.000000
2026-06-24T02:36:47,445.978,128.000,2269515,127.924023,,0.000,0.000000
2026-06-24T02:36:52,450.990,128.000,2270156,127.884075,,1.000,0.000000
2026-06-24T02:36:57,455.998,128.000,2270798,128.207434,,0.000,0.000000
2026-06-24T02:37:02,461.011,128.000,2271439,127.875323,,0.000,0.000000
2026-06-24T02:37:07,466.023,128.000,2272081,128.081060,,0.000,0.000000
2026-06-24T02:37:12,471.034,128.000,2272722,127.924120,,0.000,0.000000
2026-06-24T02:37:17,476.046,128.000,2273364,128.097804,,1.000,0.000000
2026-06-24T02:37:22,481.058,128.000,2274005,127.894204,,0.000,0.000000
2026-06-24T02:37:27,486.073,128.000,2274647,128.005324,,0.000,0.000000
2026-06-24T02:37:32,491.085,128.000,2275289,128.103423,,1.000,0.000000
2026-06-24T02:37:37,496.095,128.000,2275930,127.943917,,0.000,0.000000
2026-06-24T02:37:42,501.107,128.000,2276572,128.072495,,1.000,0.000000
2026-06-24T02:37:47,506.123,128.000,2277213,127.802458,,1.000,0.000000
2026-06-24T02:37:52,511.139,128.000,2277856,128.196056,,1.000,0.000000
2026-06-24T02:37:57,516.149,128.000,2278497,127.935802,,0.000,0.000000
2026-06-24T02:38:02,521.159,128.000,2279138,127.933409,,0.000,0.000000
2026-06-24T02:38:07,526.170,128.000,2279780,128.129664,,1.000,0.000000
2026-06-24T02:38:12,531.181,128.000,2280421,127.921064,,0.000,0.000000
2026-06-24T02:38:17,536.192,128.000,2281062,127.920194,,1.000,0.000000
2026-06-24T02:38:22,541.204,128.000,2281704,128.098426,,0.000,0.000000
2026-06-24T02:38:27,546.213,128.000,2282345,127.963014,,0.000,0.000000
2026-06-24T02:38:32,551.226,128.000,2282987,128.077161,,1.000,0.000000
2026-06-24T02:38:37,556.236,128.000,2283628,127.942115,,0.000,0.000000
2026-06-24T02:38:42,561.249,128.000,2284270,128.066154,,1.000,0.000000
