timestamp_utc,t_seconds,target_lambda,phase,phase_index
2026-06-23T19:00:50Z,0,32.0,warmup,0
2026-06-23T19:00:55Z,5,32.0,warmup,0
2026-06-23T19:01:00Z,10,32.0,warmup,0
2026-06-23T19:01:05Z,15,32.0,warmup,0
2026-06-23T19:01:10Z,20,32.0,warmup,0
2026-06-23T19:01:15Z,25,32.0,warmup,0
2026-06-23T19:01:20Z,30,32.0,hold,1
2026-06-23T19:01:25Z,35,32.0,hold,1
2026-06-23T19:01:30Z,40,32.0,hold,1
2026-06-23T19:01:35Z,45,32.0,hold,1
2026-06-23T19:01:40Z,50,32.0,hold,1
2026-06-23T19:01:45Z,55,32.0,hold,1
2026-06-23T19:01:50Z,60,32.0,hold,1
2026-06-23T19:01:55Z,65,32.0,hold,1
2026-06-23T19:02:00Z,70,32.0,hold,1
2026-06-23T19:02:05Z,75,32.0,hold,1
2026-06-23T19:02:10Z,80,32.0,hold,1
2026-06-23T19:02:15Z,85,32.0,hold,1
2026-06-23T19:02:20Z,90,32.0,hold,1
2026-06-23T19:02:25Z,95,32.0,hold,1
2026-06-23T19:02:30Z,100,32.0,hold,1
2026-06-23T19:02:35Z,105,32.0,hold,1
2026-06-23T19:02:40Z,110,32.0,hold,1
2026-06-23T19:02:45Z,115,32.0,hold,1
2026-06-23T19:02:50Z,120,32.0,hold,1
2026-06-23T19:02:55Z,125,32.0,hold,1
2026-06-23T19:03:00Z,130,32.0,hold,1
2026-06-23T19:03:05Z,135,32.0,hold,1
2026-06-23T19:03:10Z,140,32.0,hold,1
2026-06-23T19:03:15Z,145,32.0,hold,1
2026-06-23T19:03:20Z,150,32.0,hold,1
2026-06-23T19:03:25Z,155,32.0,hold,1
2026-06-23T19:03:30Z,160,32.0,hold,1
2026-06-23T19:03:35Z,165,32.0,hold,1
2026-06-23T19:03:40Z,170,32.0,hold,1
2026-06-23T19:03:45Z,175,32.0,hold,1
2026-06-23T19:03:50Z,180,32.0,hold,1
2026-06-23T19:03:55Z,185,32.0,hold,1
2026-06-23T19:04:00Z,190,32.0,hold,1
2026-06-23T19:04:05Z,195,32.0,hold,1
2026-06-23T19:04:10Z,200,32.0,hold,1
2026-06-23T19:04:15Z,205,32.0,hold,1
2026-06-23T19:04:20Z,210,32.0,hold,1
2026-06-23T19:04:25Z,215,32.0,hold,1
2026-06-23T19:04:30Z,220,32.0,hold,1
2026-06-23T19:04:35Z,225,32.0,hold,1
2026-06-23T19:04:40Z,230,32.0,hold,1
2026-06-23T19:04:45Z,235,32.0,hold,1
2026-06-23T19:04:50Z,240,32.0,hold,1
2026-06-23T19:04:55Z,245,32.0,hold,1
2026-06-23T19:05:00Z,250,32.0,hold,1
2026-06-23T19:05:05Z,255,32.0,hold,1
2026-06-23T19:05:10Z,260,32.0,hold,1
2026-06-23T19:05:15Z,265,32.0,hold,1
2026-06-23T19:05:20Z,270,32.0,hold,1
2026-06-23T19:05:25Z,275,32.0,hold,1
2026-06-23T19:05:30Z,280,32.0,hold,1
2026-06-23T19:05:35Z,285,32.0,hold,1
2026-06-23T19:05:40Z,290,32.0,hold,1
2026-06-23T19:05:45Z,295,32.0,hold,1
2026-06-23T19:05:50Z,300,32.0,hold,1
2026-06-23T19:05:55Z,305,32.0,hold,1
2026-06-23T19:06:00Z,310,32.0,hold,1
2026-06-23T19:06:05Z,315,32.0,hold,1
2026-06-23T19:06:10Z,320,32.0,hold,1
2026-06-23T19:06:15Z,325,32.0,hold,1
2026-06-23T19:06:20Z,330,64.0,hold,2
2026-06-23T19:06:25Z,335,64.0,hold,2
2026-06-23T19:06:30Z,340,64.0,hold,2
2026-06-23T19:06:35Z,345,64.0,hold,2
2026-06-23T19:06:40Z,350,64.0,hold,2
2026-06-23T19:06:45Z,355,64.0,hold,2
2026-06-23T19:06:50Z,360,64.0,hold,2
2026-06-23T19:06:55Z,365,64.0,hold,2
2026-06-23T19:07:00Z,370,64.0,hold,2
2026-06-23T19:07:05Z,375,64.0,hold,2
2026-06-23T19:07:10Z,380,64.0,hold,2
2026-06-23T19:07:15Z,385,64.0,hold,2
2026-06-23T19:07:20Z,390,64.0,hold,2
2026-06-23T19:07:25Z,395,64.0,hold,2
2026-06-23T19:07:30Z,400,64.0,hold,2
2026-06-23T19:07:35Z,405,64.0,hold,2
2026-06-23T19:07:40Z,410,64.0,hold,2
2026-06-23T19:07:45Z,415,64.0,hold,2
2026-06-23T19:07:50Z,420,64.0,hold,2
2026-06-23T19:07:55Z,425,64.0,hold,2
2026-06-23T19:08:00Z,430,64.0,hold,2
2026-06-23T19:08:05Z,435,64.0,hold,2
2026-06-23T19:08:10Z,440,64.0,hold,2
2026-06-23T19:08:15Z,445,64.0,hold,2
2026-06-23T19:08:20Z,450,64.0,hold,2
2026-06-23T19:08:25Z,455,64.0,hold,2
2026-06-23T19:08:30Z,460,64.0,hold,2
2026-06-23T19:08:35Z,465,64.0,hold,2
2026-06-23T19:08:40Z,470,64.0,hold,2
2026-06-23T19:08:45Z,475,64.0,hold,2
2026-06-23T19:08:50Z,480,64.0,hold,2
2026-06-23T19:08:55Z,485,64.0,hold,2
2026-06-23T19:09:00Z,490,64.0,hold,2
2026-06-23T19:09:05Z,495,64.0,hold,2
2026-06-23T19:09:10Z,500,64.0,hold,2
2026-06-23T19:09:15Z,505,64.0,hold,2
2026-06-23T19:09:20Z,510,64.0,hold,2
2026-06-23T19:09:25Z,515,64.0,hold,2
2026-06-23T19:09:30Z,520,64.0,hold,2
2026-06-23T19:09:35Z,525,64.0,hold,2
2026-06-23T19:09:40Z,530,64.0,hold,2
2026-06-23T19:09:45Z,535,64.0,hold,2
2026-06-23T19:09:50Z,540,64.0,hold,2
2026-06-23T19:09:55Z,545,64.0,hold,2
2026-06-23T19:10:00Z,550,64.0,hold,2
2026-06-23T19:10:05Z,555,64.0,hold,2
2026-06-23T19:10:10Z,560,64.0,hold,2
2026-06-23T19:10:15Z,565,64.0,hold,2
2026-06-23T19:10:20Z,570,64.0,hold,2
2026-06-23T19:10:25Z,575,64.0,hold,2
2026-06-23T19:10:30Z,580,64.0,hold,2
2026-06-23T19:10:35Z,585,64.0,hold,2
2026-06-23T19:10:40Z,590,64.0,hold,2
2026-06-23T19:10:45Z,595,64.0,hold,2
2026-06-23T19:10:50Z,600,64.0,hold,2
