t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-06-24T03:22:57,30.065,128.000,2499207,128.000000,,1.000,0.000000
2026-06-24T03:23:02,35.082,128.000,2499849,127.960658,,1.000,0.000000
2026-06-24T03:23:07,40.093,128.000,2500490,127.918679,,0.000,0.000000
2026-06-24T03:23:12,45.105,128.000,2501132,128.079068,,1.000,0.000000
2026-06-24T03:23:17,50.116,128.000,2501773,127.916506,,0.000,0.000000
2026-06-24T03:23:22,55.130,128.000,2502415,128.052774,,1.000,0.000000
2026-06-24T03:23:27,60.141,128.000,2503056,127.908120,,0.000,0.000000
2026-06-24T03:23:32,65.155,128.000,2503698,128.041966,,0.000,0.000000
2026-06-24T03:23:37,70.168,128.000,2504340,128.082809,,1.000,0.000000
2026-06-24T03:23:42,75.180,128.000,2504981,127.885846,,0.000,0.000000
2026-06-24T03:23:47,80.190,128.000,2505623,128.132646,,1.000,0.000000
2026-06-24T03:23:52,85.201,128.000,2506264,127.927930,,0.000,0.000000
2026-06-24T03:23:57,90.212,128.000,2506905,127.913877,,0.000,0.000000
2026-06-24T03:24:02,95.227,128.000,2507547,128.029218,,0.000,0.000000
2026-06-24T03:24:07,100.238,128.000,2508189,128.119965,,0.000,0.000000
2026-06-24T03:24:12,105.249,128.000,2508830,127.914534,,0.000,0.000000
2026-06-24T03:24:17,110.260,128.000,2509471,127.910864,,0.000,0.000000
2026-06-24T03:24:22,115.273,128.000,2510113,128.075157,,0.000,0.000000
2026-06-24T03:24:27,120.285,128.000,2510755,128.096926,,1.000,0.000000
2026-06-24T03:24:32,125.291,128.000,2511396,128.044581,,0.000,0.000000
2026-06-24T03:24:37,130.308,128.000,2512037,127.763758,,0.000,0.000000
2026-06-24T03:24:42,135.318,128.000,2512679,128.144542,,0.000,0.000000
2026-06-24T03:24:47,140.330,128.000,2513320,127.879513,,0.000,0.000000
2026-06-24T03:24:52,145.342,128.000,2513962,128.104197,,0.000,0.000000
2026-06-24T03:24:57,150.355,128.000,2514603,127.870938,,1.000,0.000000
2026-06-24T03:25:02,155.366,128.000,2515245,128.122586,,0.000,0.000000
2026-06-24T03:25:07,160.380,128.000,2515886,127.834160,,1.000,0.000000
2026-06-24T03:25:12,165.391,128.000,2516528,128.125220,,0.000,0.000000
2026-06-24T03:25:17,170.401,128.000,2517170,128.126341,,1.000,0.000000
2026-06-24T03:25:22,175.413,128.000,2517811,127.916798,,0.000,0.000000
2026-06-24T03:25:27,180.427,128.000,2518452,127.829747,,1.000,0.000000
2026-06-24T03:25:32,185.439,128.000,2519094,128.086958,,1.000,0.000000
2026-06-24T03:25:37,190.451,128.000,2519736,128.112699,,0.000,0.000000
2026-06-24T03:25:42,195.462,128.000,2520377,127.903252,,0.000,0.000000
2026-06-24T03:25:47,200.472,128.000,2521019,128.143518,,0.000,0.000000
2026-06-24T03:25:52,205.485,128.000,2521660,127.863476,,0.000,0.000000
2026-06-24T03:25:57,210.497,128.000,2522302,128.102033,,1.000,0.000000
2026-06-24T03:26:02,215.508,128.000,2522943,127.921077,,0.000,0.000000
2026-06-24T03:26:07,220.519,128.000,2523585,128.119099,,1.000,0.000000
2026-06-24T03:26:12,225.530,128.000,2524226,127.910475,,0.000,0.000000
2026-06-24T03:26:17,230.542,128.000,2524867,127.905540,,1.000,0.000000
2026-06-24T03:26:22,235.556,128.000,2525509,128.022352,,0.000,0.000000
2026-06-24T03:26:27,240.567,128.000,2526151,128.141700,,1.000,0.000000
2026-06-24T03:26:32,245.576,128.000,2526792,127.944904,,0.000,0.000000
2026-06-24T03:26:37,250.588,128.000,2527433,127.902023,,1.000,0.000000
2026-06-24T03:26:42,255.600,128.000,2528075,128.089151,,0.000,0.000000
2026-06-24T03:26:47,260.612,128.000,2528717,128.099480,,1.000,0.000000
2026-06-24T03:26:52,265.624,128.000,2529358,127.898664,,0.000,0.000000
2026-06-24T03:26:57,270.637,128.000,2529999,127.861384,,1.000,0.000000
2026-06-24T03:27:02,275.650,128.000,2530641,128.057214,,0.000,0.000000
2026-06-24T03:27:07,280.660,128.000,2531283,128.158124,,0.000,0.000000
2026-06-24T03:27:12,285.670,128.000,2531924,127.940575,,0.000,0.000000
2026-06-24T03:27:17,290.681,128.000,2532565,127.912167,,1.000,0.000000
2026-06-24T03:27:22,295.693,128.000,2533207,128.096768,,0.000,0.000000
2026-06-24T03:27:58,330.713,32.000,2534809,45.745114,,0.000,0.000000
2026-06-24T03:28:03,335.724,32.000,2534969,31.932754,,0.000,0.000000
2026-06-24T03:28:08,340.735,32.000,2535130,32.130057,,0.000,0.000000
2026-06-24T03:28:13,345.746,32.000,2535290,31.928089,,0.000,0.000000
2026-06-24T03:28:18,350.756,32.000,2535450,31.934063,,0.000,0.000000
2026-06-24T03:28:23,355.767,32.000,2535611,32.131426,,0.000,0.000000
2026-06-24T03:28:28,360.778,32.000,2535771,31.931372,,0.000,0.000000
2026-06-24T03:28:33,365.790,32.000,2535931,31.923906,,0.000,0.000000
2026-06-24T03:28:38,370.801,32.000,2536092,32.129993,,0.000,0.000000
2026-06-24T03:28:43,375.807,32.000,2536252,31.959560,,0.000,0.000000
2026-06-24T03:28:48,380.818,32.000,2536412,31.930613,,0.000,0.000000
2026-06-24T03:28:53,385.828,32.000,2536573,32.135878,,0.000,0.000000
2026-06-24T03:28:58,390.841,32.000,2536733,31.919445,,0.000,0.000000
2026-06-24T03:29:03,395.851,32.000,2536893,31.934085,,0.000,0.000000
2026-06-24T03:29:08,400.862,32.000,2537054,32.126201,,0.000,0.000000
2026-06-24T03:29:13,405.873,32.000,2537214,31.933740,,0.000,0.000000
2026-06-24T03:29:18,410.883,32.000,2537374,31.934844,,0.000,0.000000
2026-06-24T03:29:23,415.894,32.000,2537535,32.131207,,0.000,0.000000
2026-06-24T03:29:28,420.905,32.000,2537695,31.927987,,0.000,0.000000
2026-06-24T03:29:33,425.918,32.000,2537855,31.917980,,0.000,0.000000
2026-06-24T03:29:38,430.932,32.000,2538016,32.109984,,0.000,0.000000
2026-06-24T03:29:43,435.944,32.000,2538176,31.925236,,0.000,0.000000
2026-06-24T03:29:48,440.955,32.000,2538337,32.129596,,0.000,0.000000
2026-06-24T03:29:53,445.966,32.000,2538497,31.929638,,0.000,0.000000
2026-06-24T03:29:58,450.976,32.000,2538657,31.934512,,0.000,0.000000
2026-06-24T03:30:03,455.990,32.000,2538818,32.109242,,0.000,0.000000
2026-06-24T03:30:08,461.002,32.000,2538978,31.922651,,0.000,0.000000
2026-06-24T03:30:13,466.014,32.000,2539139,32.124842,,1.000,0.000000
2026-06-24T03:30:18,471.025,32.000,2539299,31.930214,,0.000,0.000000
2026-06-24T03:30:23,476.036,32.000,2539459,31.929773,,0.000,0.000000
2026-06-24T03:30:28,481.045,32.000,2539620,32.138638,,0.000,0.000000
2026-06-24T03:30:33,486.057,32.000,2539780,31.922484,,0.000,0.000000
2026-06-24T03:30:38,491.068,32.000,2539940,31.932137,,0.000,0.000000
2026-06-24T03:30:43,496.080,32.000,2540101,32.121636,,0.000,0.000000
2026-06-24T03:30:48,501.092,32.000,2540261,31.927618,,0.000,0.000000
2026-06-24T03:30:53,506.104,32.000,2540421,31.922714,,0.000,0.000000
2026-06-24T03:30:58,511.115,32.000,2540582,32.125215,,0.000,0.000000
2026-06-24T03:31:03,516.128,32.000,2540742,31.918648,,0.000,0.000000
2026-06-24T03:31:08,521.139,32.000,2540903,32.129532,,0.000,0.000000
2026-06-24T03:31:13,526.150,32.000,2541063,31.931748,,0.000,0.000000
2026-06-24T03:31:18,531.161,32.000,2541223,31.930998,,0.000,0.000000
2026-06-24T03:31:23,536.172,32.000,2541384,32.126795,,0.000,0.000000
2026-06-24T03:31:28,541.182,32.000,2541544,31.935683,,0.000,0.000000
2026-06-24T03:31:33,546.192,32.000,2541704,31.939969,,0.000,0.000000
2026-06-24T03:31:38,551.202,32.000,2541865,32.132846,,0.000,0.000000
2026-06-24T03:31:43,556.217,32.000,2542025,31.905621,,0.000,0.000000
2026-06-24T03:31:48,561.229,32.000,2542185,31.924747,,0.000,0.000000
2026-06-24T03:31:53,566.239,32.000,2542346,32.130895,,0.000,0.000000
2026-06-24T03:31:58,571.251,32.000,2542506,31.927823,,0.000,0.000000
2026-06-24T03:32:03,576.266,32.000,2542667,32.103876,,1.000,0.000000
2026-06-24T03:32:08,581.277,32.000,2542827,31.927715,,0.000,0.000000
2026-06-24T03:32:13,586.293,32.000,2542987,31.900936,,0.000,0.000000
2026-06-24T03:32:18,591.307,32.000,2543148,32.110081,,0.000,0.000000
2026-06-24T03:32:23,596.317,32.000,2543308,31.933903,,0.000,0.000000
