t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-06-24T05:14:48,35.049,32.000,2739941,32.000000,,0.000,0.000000
2026-06-24T05:14:53,40.061,32.000,2740102,32.119179,,0.000,0.000000
2026-06-24T05:14:58,45.074,32.000,2740262,31.916044,,0.000,0.000000
2026-06-24T05:15:03,50.089,32.000,2740423,32.109736,,0.000,0.000000
2026-06-24T05:15:08,55.102,32.000,2740583,31.916399,,0.000,0.000000
2026-06-24T05:15:13,60.115,32.000,2740743,31.914400,,0.000,0.000000
2026-06-24T05:15:18,65.129,32.000,2740904,32.111718,,0.000,0.000000
2026-06-24T05:15:23,70.141,32.000,2741064,31.920164,,0.000,0.000000
2026-06-24T05:15:28,75.154,32.000,2741225,32.121059,,0.000,0.000000
2026-06-24T05:15:33,80.166,32.000,2741385,31.922407,,0.000,0.000000
2026-06-24T05:15:38,85.179,32.000,2741545,31.914460,,0.000,0.000000
2026-06-24T05:15:43,90.191,32.000,2741706,32.122648,,0.000,0.000000
2026-06-24T05:15:48,95.203,32.000,2741866,31.922452,,0.000,0.000000
2026-06-24T05:15:53,100.216,32.000,2742027,32.122000,,0.000,0.000000
2026-06-24T05:15:58,105.230,32.000,2742187,31.908349,,0.000,0.000000
2026-06-24T05:16:03,110.242,32.000,2742348,32.120185,,1.000,0.000000
2026-06-24T05:16:08,115.257,32.000,2742508,31.903969,,0.000,0.000000
2026-06-24T05:16:13,120.271,32.000,2742668,31.915300,,0.000,0.000000
2026-06-24T05:16:18,125.284,32.000,2742829,32.112818,,0.000,0.000000
2026-06-24T05:16:23,130.297,32.000,2742989,31.921052,,0.000,0.000000
2026-06-24T05:16:28,135.312,32.000,2743150,32.103497,,0.000,0.000000
2026-06-24T05:16:33,140.325,32.000,2743310,31.917535,,0.000,0.000000
2026-06-24T05:16:38,145.338,32.000,2743471,32.114753,,1.000,0.000000
2026-06-24T05:16:43,150.351,32.000,2743631,31.918719,,0.000,0.000000
2026-06-24T05:16:48,155.364,32.000,2743791,31.917189,,0.000,0.000000
2026-06-24T05:16:53,160.378,32.000,2743952,32.104935,,0.000,0.000000
2026-06-24T05:16:58,165.391,32.000,2744112,31.919648,,0.000,0.000000
2026-06-24T05:17:03,170.405,32.000,2744273,32.113001,,0.000,0.000000
2026-06-24T05:17:08,175.418,32.000,2744433,31.914009,,0.000,0.000000
2026-06-24T05:17:13,180.431,32.000,2744594,32.119997,,1.000,0.000000
2026-06-24T05:17:48,215.451,64.000,2746674,59.393900,,0.000,0.000000
2026-06-24T05:17:53,220.464,64.000,2746995,64.027617,,1.000,0.000000
2026-06-24T05:17:58,225.478,64.000,2747315,63.830313,,0.000,0.000000
2026-06-24T05:18:03,230.490,64.000,2747636,64.039488,,0.000,0.000000
2026-06-24T05:18:08,235.503,64.000,2747957,64.039601,,0.000,0.000000
2026-06-24T05:18:13,240.515,64.000,2748278,64.039038,,0.000,0.000000
2026-06-24T05:18:18,245.529,64.000,2748599,64.024889,,0.000,0.000000
2026-06-24T05:18:23,250.544,64.000,2748920,64.015385,,0.000,0.000000
2026-06-24T05:18:28,255.557,64.000,2749240,63.833813,,1.000,0.000000
2026-06-24T05:18:33,260.569,64.000,2749561,64.045615,,0.000,0.000000
2026-06-24T05:18:38,265.583,64.000,2749882,64.017367,,0.000,0.000000
2026-06-24T05:18:43,270.610,64.000,2750203,63.858850,,0.000,0.000000
2026-06-24T05:18:48,275.623,64.000,2750525,64.233489,,0.000,0.000000
2026-06-24T05:18:53,280.635,64.000,2750846,64.044460,,1.000,0.000000
2026-06-24T05:18:58,285.649,64.000,2751166,63.821198,,0.000,0.000000
2026-06-24T05:19:04,290.663,64.000,2751487,64.019601,,0.000,0.000000
2026-06-24T05:19:09,295.678,64.000,2751808,64.001886,,0.000,0.000000
2026-06-24T05:19:14,300.691,64.000,2752129,64.042925,,0.000,0.000000
2026-06-24T05:19:19,305.704,64.000,2752450,64.031183,,0.000,0.000000
2026-06-24T05:19:24,310.716,64.000,2752771,64.043976,,0.000,0.000000
2026-06-24T05:19:29,315.728,64.000,2753091,63.849798,,1.000,0.000000
2026-06-24T05:19:34,320.740,64.000,2753412,64.043397,,0.000,0.000000
2026-06-24T05:19:39,325.755,64.000,2753733,64.011258,,0.000,0.000000
2026-06-24T05:19:44,330.768,64.000,2754054,64.026582,,0.000,0.000000
2026-06-24T05:19:49,335.781,64.000,2754375,64.034277,,0.000,0.000000
2026-06-24T05:19:54,340.796,64.000,2754696,64.014436,,0.000,0.000000
2026-06-24T05:19:59,345.810,64.000,2755017,64.021653,,0.000,0.000000
2026-06-24T05:20:04,350.823,64.000,2755338,64.032069,,1.000,0.000000
2026-06-24T05:20:09,355.835,64.000,2755658,63.845737,,0.000,0.000000
2026-06-24T05:20:14,360.848,64.000,2755979,64.030123,,0.000,0.000000
2026-06-24T05:20:49,395.869,128.000,2760140,118.816022,,0.000,0.000000
2026-06-24T05:20:54,400.881,128.000,2760782,128.087628,,1.000,0.000000
2026-06-24T05:20:59,405.893,128.000,2761423,127.896839,,1.000,0.000000
2026-06-24T05:21:04,410.907,128.000,2762065,128.043598,,0.000,0.000000
2026-06-24T05:21:09,415.919,128.000,2762707,128.081779,,0.000,0.000000
2026-06-24T05:21:14,420.931,128.000,2763348,127.889131,,0.000,0.000000
2026-06-24T05:21:19,425.944,128.000,2763990,128.077947,,0.000,0.000000
2026-06-24T05:21:24,430.955,128.000,2764631,127.915076,,1.000,0.000000
2026-06-24T05:21:29,435.967,128.000,2765273,128.096128,,0.000,0.000000
2026-06-24T05:21:34,440.980,128.000,2765914,127.861220,,0.000,0.000000
2026-06-24T05:21:39,445.993,128.000,2766556,128.082029,,0.000,0.000000
