t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-06-24T06:08:54,35.051,80.000,2914530,80.000000,,0.000,0.000000
2026-06-24T06:08:59,40.062,80.000,2914931,80.009038,,0.000,0.000000
2026-06-24T06:09:04,45.077,80.000,2915332,79.965649,,0.000,0.000000
2026-06-24T06:09:09,50.085,80.000,2915733,80.073785,,0.000,0.000000
2026-06-24T06:09:14,55.097,80.000,2916133,79.802054,,1.000,0.000000
2026-06-24T06:09:19,60.106,80.000,2916534,80.056603,,0.000,0.000000
2026-06-24T06:09:54,95.136,104.000,2920057,100.571483,,0.000,0.000000
2026-06-24T06:09:59,100.148,104.000,2920578,103.961397,,0.000,0.000000
2026-06-24T06:10:04,105.161,104.000,2921100,104.120627,,1.000,0.000000
2026-06-24T06:10:09,110.175,104.000,2921621,103.918543,,0.000,0.000000
2026-06-24T06:10:14,115.188,104.000,2922142,103.921395,,0.000,0.000000
2026-06-24T06:10:19,120.201,104.000,2922664,104.127293,,0.000,0.000000
2026-06-24T06:10:54,155.224,122.000,2926846,119.409250,,0.000,0.000000
2026-06-24T06:10:59,160.236,122.000,2927458,122.095430,,1.000,0.000000
2026-06-24T06:11:04,165.248,122.000,2928069,121.902781,,0.000,0.000000
2026-06-24T06:11:09,170.260,122.000,2928681,122.118798,,1.000,0.000000
2026-06-24T06:11:14,175.272,122.000,2929292,121.906342,,0.000,0.000000
2026-06-24T06:11:19,180.286,122.000,2929904,122.058523,,1.000,0.000000
2026-06-24T06:11:54,215.308,128.000,2934356,127.121717,,0.000,0.000000
2026-06-24T06:11:59,220.319,128.000,2934998,128.108067,,0.000,0.000000
2026-06-24T06:12:04,225.333,128.000,2935639,127.836932,,1.000,0.000000
2026-06-24T06:12:09,230.346,128.000,2936281,128.078861,,0.000,0.000000
2026-06-24T06:12:15,235.359,128.000,2936923,128.052896,,0.000,0.000000
2026-06-24T06:12:20,240.373,128.000,2937565,128.049882,,1.000,0.000000
2026-06-24T06:12:55,275.395,122.000,2941867,122.836479,,1.000,0.000000
2026-06-24T06:13:00,280.408,122.000,2942479,122.085331,,0.000,0.000000
2026-06-24T06:13:05,285.421,122.000,2943091,122.078469,,1.000,0.000000
2026-06-24T06:13:10,290.434,122.000,2943702,121.895556,,0.000,0.000000
2026-06-24T06:13:15,295.447,122.000,2944314,122.087567,,0.000,0.000000
2026-06-24T06:13:20,300.459,122.000,2944925,121.908000,,0.000,0.000000
2026-06-24T06:13:55,335.478,104.000,2948658,106.596733,,0.000,0.000000
2026-06-24T06:14:00,340.491,104.000,2949179,103.939728,,0.000,0.000000
2026-06-24T06:14:05,345.504,104.000,2949700,103.934478,,0.000,0.000000
2026-06-24T06:14:10,350.517,104.000,2950222,104.125678,,1.000,0.000000
2026-06-24T06:14:15,355.530,104.000,2950743,103.932743,,0.000,0.000000
2026-06-24T06:14:20,360.542,104.000,2951264,103.954577,,0.000,0.000000
2026-06-24T06:14:55,395.561,80.000,2954186,83.439574,,0.000,0.000000
2026-06-24T06:15:00,400.574,80.000,2954587,79.987646,,0.000,0.000000
2026-06-24T06:15:05,405.587,80.000,2954988,79.999729,,0.000,0.000000
2026-06-24T06:15:10,410.597,80.000,2955389,80.029264,,0.000,0.000000
2026-06-24T06:15:15,415.609,80.000,2955790,80.012155,,0.000,0.000000
2026-06-24T06:15:20,420.615,80.000,2956191,80.099930,,0.000,0.000000
2026-06-24T06:15:55,455.635,56.000,2958272,59.424052,,0.000,0.000000
2026-06-24T06:16:00,460.648,56.000,2958553,56.057709,,0.000,0.000000
2026-06-24T06:16:05,465.661,56.000,2958833,55.848995,,1.000,0.000000
2026-06-24T06:16:10,470.667,56.000,2959114,56.136081,,0.000,0.000000
2026-06-24T06:16:15,475.681,56.000,2959395,56.038007,,1.000,0.000000
2026-06-24T06:16:20,480.694,56.000,2959675,55.858534,,0.000,0.000000
2026-06-24T06:16:55,515.714,38.000,2961097,40.605531,,1.000,0.000000
2026-06-24T06:17:00,520.727,38.000,2961287,37.898251,,0.000,0.000000
2026-06-24T06:17:05,525.739,38.000,2961477,37.910937,,1.000,0.000000
2026-06-24T06:17:10,530.749,38.000,2961668,38.123763,,0.000,0.000000
2026-06-24T06:17:15,535.761,38.000,2961858,37.908224,,0.000,0.000000
2026-06-24T06:17:20,540.773,38.000,2962049,38.113206,,0.000,0.000000
2026-06-24T06:17:55,575.793,32.000,2963200,32.866249,,1.000,0.000000
2026-06-24T06:18:00,580.805,32.000,2963360,31.925745,,0.000,0.000000
2026-06-24T06:18:05,585.820,32.000,2963520,31.904625,,0.000,0.000000
2026-06-24T06:18:10,590.831,32.000,2963681,32.126407,,0.000,0.000000
2026-06-24T06:18:15,595.845,32.000,2963841,31.916028,,0.000,0.000000
2026-06-24T06:18:20,600.851,32.000,2964002,32.158251,,1.000,0.000000
2026-06-24T06:18:55,635.877,38.000,2965302,37.115729,,0.000,0.000000
2026-06-24T06:19:00,640.892,38.000,2965493,38.082990,,0.000,0.000000
2026-06-24T06:19:05,645.905,38.000,2965683,37.903138,,0.000,0.000000
2026-06-24T06:19:10,650.917,38.000,2965874,38.106534,,0.000,0.000000
2026-06-24T06:19:15,655.933,38.000,2966064,37.880531,,0.000,0.000000
2026-06-24T06:19:20,660.948,38.000,2966255,38.087882,,0.000,0.000000
2026-06-24T06:19:55,695.969,56.000,2968126,53.424863,,0.000,0.000000
2026-06-24T06:20:00,700.981,56.000,2968406,55.863093,,0.000,0.000000
2026-06-24T06:20:05,705.995,56.000,2968687,56.042933,,0.000,0.000000
2026-06-24T06:20:10,711.008,56.000,2968968,56.053846,,0.000,0.000000
2026-06-24T06:20:15,716.021,56.000,2969249,56.053480,,1.000,0.000000
2026-06-24T06:20:20,721.033,56.000,2969529,55.866248,,0.000,0.000000
2026-06-24T06:20:55,756.052,80.000,2972210,76.558024,,0.000,0.000000
2026-06-24T06:21:00,761.066,80.000,2972611,79.984435,,0.000,0.000000
2026-06-24T06:21:05,766.077,80.000,2973012,80.023160,,0.000,0.000000
2026-06-24T06:21:10,771.091,80.000,2973413,79.968151,,0.000,0.000000
2026-06-24T06:21:15,776.103,80.000,2973814,80.017614,,0.000,0.000000
2026-06-24T06:21:20,781.115,80.000,2974215,80.005388,,0.000,0.000000
