k,profile,plant,controller,r,y,e,e_feedback,integral,anti_windup_freeze,u_raw,u_cmd,saturated
0,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
1,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
2,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
3,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
4,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
5,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
6,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
7,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
8,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
9,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
10,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
11,multistep,transition,pi,64.0,64.0,0.0,0.0,0.0,False,64.0,64.0,False
12,multistep,transition,pi,96.0,94.19141465599999,1.808585344000008,32.0,32.0,False,99.264,99.264,False
13,multistep,transition,pi,96.0,95.95257570142087,0.047424298579130664,1.808585344000008,33.80858534400001,False,96.248475705088,96.248475705088,False
14,multistep,transition,pi,96.0,96.0552103707982,-0.05521037079820701,0.047424298579130664,33.85600964257914,False,96.07245444914307,96.07245444914307,False
15,multistep,transition,pi,96.0,96.06109231201727,-0.061092312017265726,-0.05521037079820701,33.80079927178093,False,96.06208056146374,96.06208056146374,False
16,multistep,transition,pi,96.0,96.06133021212901,-0.06133021212900758,-0.061092312017265726,33.739706959763666,False,96.06137018271781,96.06137018271781,False
17,multistep,transition,pi,96.0,96.0612390489824,-0.061239048982400845,-0.06133021212900758,33.67837674763466,False,96.06122373228237,96.06122373228237,False
18,multistep,transition,pi,96.0,96.06112888038417,-0.06112888038417452,-0.061239048982400845,33.61713769865226,False,96.06111037049907,96.06111037049907,False
19,multistep,transition,pi,96.0,96.06101779372969,-0.06101779372968963,-0.06112888038417452,33.55600881826808,False,96.06099912959812,96.06099912959812,False
20,multistep,transition,pi,96.0,96.06090684383081,-0.060906843830807134,-0.06101779372968963,33.49499102453839,False,96.06088820267611,96.06088820267611,False
21,multistep,transition,pi,96.0,96.06079609187566,-0.06079609187565893,-0.060906843830807134,33.434084180707586,False,96.06077748397833,96.06077748397833,False
22,multistep,transition,pi,96.0,96.06068554108838,-0.06068554108837532,-0.06079609187565893,33.37328808883193,False,96.0606669669901,96.0606669669901,False
