family,delay_steps,c,a_y,b_u,y_eq,u_eq,train_sample_count,train_one_step_rmse,validation_one_step_rmse,train_recursive_rmse,validation_recursive_rmse,validation_recursive_mae,validation_recursive_bias,validation_recursive_mape,validation_recursive_r2
no_intercept,0,0.0,0.10889615191767432,0.8845312889194352,97.16156286,97.04,49,6.407961975777415,5.234810941749596,6.459602208558303,5.3011639284964245,2.277032799758361,-1.8814556821807338,4.204217268662627,0.9119757917318732
equilibrium_deviation,0,-0.8140775035621033,0.23703563286015628,0.7723092314649644,97.16156286,97.04,49,6.451864532670126,5.257702472573747,6.694349724779485,5.509477502847676,2.691046720326749,-2.2930450903433592,5.101856504327952,0.9049219015702066
intercept,0,-1.8709685929064257,0.2549178063272276,0.7563369172997844,97.16156286,97.04,49,6.393183709662756,5.654990636846989,6.63200530817838,6.203864867295957,3.869501793793579,-3.6321338120390374,7.60277758748861,0.8794452524251564
intercept,15,6.569633160333204,1.0110739635571186,-0.09188566216467016,97.16156286,97.04,34,5.697507250499021,6.763374163435494,48.80992281717852,8.771851637443044,6.54465751435358,5.856797633520848,12.441223250741865,0.7589860311509757
intercept,20,13.93313846145945,0.9566905359474238,-0.11684856735667104,97.16156286,97.04,29,6.014464062917697,7.723754150747663,22.361768575476734,25.458637995349093,21.353148998476815,21.347679301674198,40.443116665650194,-1.0301587096624178
no_intercept,5,0.0,1.0208733877135483,-0.02817108282122098,97.16156286,97.04,44,6.818387425735109,5.783563264017454,62.70086039112063,27.90185794028601,19.19483985609332,-18.235262397526917,29.884013469918624,-1.438517662511884
no_intercept,4,0.0,1.0275714028516902,-0.03471890671882681,97.16156286,97.04,45,6.740207527025132,5.651294115404309,74.89569245603529,28.439471943063637,19.419137722296835,-18.340253799045573,30.121746352402557,-1.5333938719088014
no_intercept,3,0.0,1.0401202908567306,-0.04719510370183364,97.16156286,97.04,46,6.659930669226012,5.618674375427421,108.91201537570215,29.699128146489517,19.980448247557792,-18.71389800952672,30.762371028173668,-1.7627848109239426
no_intercept,2,0.0,1.0689505028873005,-0.07585723826558011,97.16156286,97.04,47,6.5727603213156955,5.490899187244291,278.1186282407326,32.04874759484774,20.65925638047509,-18.843486956369382,31.187893057674863,-2.2172275920352265
equilibrium_deviation,10,5.038784313305765,1.0529162435257289,-0.1049073499066977,97.16156286,97.04,39,6.099221065376709,6.14776994254969,41.13061020722809,32.25973435501286,25.942884797892667,25.478452508986823,46.97352795901359,-2.2597270235013074
intercept,10,1.433989843385275,1.0528440758989097,-0.07845344344714264,97.16156286,97.04,39,6.033505486461489,6.0293942300713255,148.23376734006632,33.61890707746203,26.427561172074906,-26.427561172074906,45.62156415461759,-2.540192198793621
equilibrium_deviation,5,-1.2884522873905042,1.0324788253269659,-0.019241973837947783,97.16156286,97.04,44,6.853740771228816,5.927454154351072,47.367865027346156,39.366154544390874,28.16149556245241,-28.06807015192847,44.99325381774711,-3.8540656457231126
equilibrium_deviation,4,-1.1839421069287992,1.0388832367881373,-0.02673138858678972,97.16156286,97.04,45,6.7744230094729465,5.76874123890125,58.19169923528045,39.518829010520946,27.968316185267394,-27.824817019361,44.335118884548365,-3.8917898778514077
equilibrium_deviation,3,-1.0886713191111177,1.0513197098089464,-0.0401652091039549,97.16156286,97.04,46,6.693811293070825,5.697914168042819,91.216545364929,41.15100863109318,28.610537151296946,-28.372239649516498,44.81538676784662,-4.304208999508512
no_intercept,1,0.0,1.1603334165209798,-0.16699096295791824,97.16156286,97.04,48,6.454754044419969,5.3429261619391095,6066.713937375726,42.485669789242735,24.975895675421132,-21.860782847746155,36.60270980287249,-4.65385410854487
equilibrium_deviation,2,-0.913490899195061,1.0800298563128201,-0.07071656034233083,97.16156286,97.04,47,6.605810750629657,5.540144801675168,269.68226322369077,44.47416370454761,29.49630306283726,-28.825720940386628,44.88989067050107,-5.195484001137162
