rank,candidate_id,family,kp,ki,kd,case_count,pass_count,settled_warn_count,explained_transient_count,review_count,unexplained_fail_count,average_full_rmse,average_full_mae,average_full_max_abs_error,average_settled_rmse,average_settled_mae,average_settled_max_abs_error,worst_settled_max_abs_error,average_rate_limit_fraction,average_saturation_fraction
1,p_kp0.350_ki0.000_kd0.000,p,0.35,0.0,0.0,6,5,0,1,0,0,2.2994707054434707,0.5447648198740777,16.67488303859327,0.047925125701007314,0.04686417826987709,0.07525707608968564,0.15332754794125947,0.027083333333333334,0.0
2,p_kp0.300_ki0.000_kd0.000,p,0.3,0.0,0.0,6,5,0,1,0,0,2.283012757716855,0.5279016109955663,16.6482266990292,0.04888207857112284,0.04806388954860541,0.06359630997570657,0.08334393921262517,0.027083333333333334,0.0
3,p_kp0.500_ki0.000_kd0.000,p,0.5,0.0,0.0,6,5,0,1,0,0,2.3481744581013446,0.5959635422799984,16.761043109107607,0.04927841920997016,0.0444138991861677,0.13390168034654693,0.46590072356238466,0.02916666666666667,0.0
4,p_kp0.200_ki0.000_kd0.000,p,0.2,0.0,0.0,6,5,0,1,0,0,2.2493972492867953,0.4931088932143695,16.60215353882655,0.05193010865521657,0.051024246957050136,0.06201858719305283,0.07015762597998787,0.027083333333333334,0.0
5,p_kp0.100_ki0.000_kd0.000,p,0.1,0.0,0.0,6,5,0,1,0,0,2.2331614548946077,0.47736516841806,16.574863025112062,0.05578668231246986,0.05484123937668178,0.06468580346069312,0.07649177195685297,0.027083333333333334,0.0
6,p_kp0.750_ki0.000_kd0.000,p,0.75,0.0,0.0,6,5,0,1,0,0,2.416815569319791,0.6882019946361697,16.90391744483073,0.0811850612791273,0.05361276402807249,0.3755515822680889,1.3297965660405424,0.02916666666666667,0.0
7,pi_kp0.500_ki0.005_kd0.000,pi,0.5,0.005,0.0,6,5,0,1,0,0,2.4262477758009027,0.8882072343817633,16.84477824152645,0.4183656921922418,0.3287634009903059,0.846550227739197,2.7684767914378625,0.02916666666666667,0.0
8,pi_kp0.350_ki0.005_kd0.000,pi,0.35,0.005,0.0,6,5,0,1,0,0,2.394777646715181,0.870721060261824,16.77476813895802,0.4538940367363476,0.3539210529929226,0.887697959756777,2.8283134032031825,0.027083333333333334,0.0
9,pid_kp0.350_ki0.005_kd0.050,pid,0.35,0.005,0.05,6,5,0,1,0,0,2.390803121413831,0.8684615232887504,16.796553341625124,0.4576706413325928,0.3571855594088716,0.9199660754154889,2.9477440531795054,0.027083333333333334,0.0
10,pid_kp0.350_ki0.005_kd0.100,pid,0.35,0.005,0.1,6,5,0,1,0,0,2.390317260616818,0.8693809464023191,16.826661496310514,0.4617743831420007,0.3605647684121845,0.9593050502138828,3.005322466767872,0.027083333333333334,0.0
11,pi_kp0.300_ki0.005_kd0.000,pi,0.3,0.005,0.0,6,5,0,1,0,0,2.3845347887954156,0.8681416785074183,16.763014949385518,0.46769728796260707,0.3634094800861432,0.9168189870698621,2.9031014134323314,0.027083333333333334,0.0
12,pid_kp0.300_ki0.005_kd0.050,pid,0.3,0.005,0.05,6,5,0,1,0,0,2.3807226494010387,0.8634944700132766,16.77088044506385,0.4714546343241146,0.36676522262448685,0.943198631755673,2.9974852088029778,0.027083333333333334,0.0
13,pid_kp0.350_ki0.005_kd0.200,pid,0.35,0.005,0.2,6,5,0,1,0,0,2.401150957090491,0.8840236442818266,16.88708592801046,0.47232737866402613,0.3674699129681591,1.082002050010523,2.902284874151796,0.027083333333333334,0.0
14,pid_kp0.300_ki0.005_kd0.100,pid,0.3,0.005,0.1,6,5,0,1,0,0,2.3803411213012136,0.8648140932720209,16.801129339107437,0.4754742582712548,0.3702163506460077,0.973410609511704,3.0347421612307315,0.027083333333333334,0.0
15,pid_kp0.300_ki0.005_kd0.200,pid,0.3,0.005,0.2,6,5,0,1,0,0,2.3907226427411152,0.8801220824782972,16.861720247315926,0.48488120317677996,0.37720404083767084,1.066641756069649,2.9050741860839224,0.027083333333333334,0.0
16,pi_kp0.200_ki0.005_kd0.000,pi,0.2,0.005,0.0,6,5,0,1,0,0,2.370088585413118,0.8674147020859618,16.744210284693107,0.49800651123434175,0.3839113936660916,0.9939972677773253,3.14459992543712,0.027083333333333334,0.0
17,pid_kp0.200_ki0.005_kd0.050,pid,0.2,0.005,0.05,6,5,0,1,0,0,2.366536238345667,0.8620893509739592,16.74341323953208,0.5018801229509194,0.3875589971488777,1.0063357996377817,3.1612727929932802,0.027083333333333334,0.0
18,pid_kp0.200_ki0.005_kd0.100,pid,0.2,0.005,0.1,6,5,0,1,0,0,2.3663626068456947,0.8614876472456695,16.7507118500408,0.5059325007379565,0.3912481712573388,1.0207806458353208,3.1539912330985516,0.027083333333333334,0.0
19,pid_kp0.200_ki0.005_kd0.200,pid,0.2,0.005,0.2,6,5,0,1,0,0,2.376411219020117,0.8825984014650717,16.811916648104752,0.514554753190578,0.3985207665259651,1.0737778319435638,3.0236062743745507,0.027083333333333334,0.0
20,pi_kp0.100_ki0.005_kd0.000,pi,0.1,0.005,0.0,6,5,0,1,0,0,2.3734528973795856,0.8808563805060666,16.745748040773034,0.5325180740270131,0.406737116179519,1.0952577565413921,3.4890773938316215,0.027083333333333334,0.0
21,pid_kp0.100_ki0.005_kd0.050,pid,0.1,0.005,0.05,6,5,0,1,0,0,2.370324555407813,0.8765677695093373,16.744183512658584,0.536683274144563,0.4108151195252991,1.0887575765964073,3.394996421285086,0.027083333333333334,0.0
22,pid_kp0.100_ki0.005_kd0.100,pid,0.1,0.005,0.1,6,5,0,1,0,0,2.370496880680495,0.8807271984096836,16.742635763059365,0.5409394460525482,0.4148624087431745,1.0887725235068413,3.3379024808979665,0.027083333333333334,0.0
23,pid_kp0.100_ki0.005_kd0.200,pid,0.1,0.005,0.2,6,5,0,1,0,0,2.3805936544962907,0.9023760455264495,16.763488714133047,0.5495887823084414,0.4227112101696555,1.1198757494403786,3.2637776926912707,0.027083333333333334,0.0
24,pi_kp0.500_ki0.010_kd0.000,pi,0.5,0.01,0.0,6,5,0,1,0,0,2.5294549861360376,1.062834820465611,16.892092795011983,0.6582717011729742,0.47014467621652,1.5886221815710329,5.387936087892335,0.02916666666666667,0.0
25,pi_kp0.350_ki0.010_kd0.000,pi,0.35,0.01,0.0,6,5,0,1,0,0,2.5181690624106783,1.061091730120891,16.864059269692607,0.7083444359873664,0.4938490693952944,1.7004523079224174,5.632137785382007,0.02916666666666667,0.0
26,pid_kp0.350_ki0.010_kd0.050,pid,0.35,0.01,0.05,6,5,0,1,0,0,2.512410229280981,1.0554614303171819,16.864711786108753,0.7147866249929776,0.4988814973342744,1.7553798842740196,5.864121392151738,0.027083333333333334,0.0
27,pid_kp0.350_ki0.010_kd0.100,pid,0.35,0.01,0.1,6,5,0,1,0,0,2.509235249995241,1.0548952417542312,16.876268506051442,0.7221231022462838,0.5042823057458595,1.819324153638637,6.047392119342852,0.027083333333333334,0.0
28,pi_kp0.300_ki0.010_kd0.000,pi,0.3,0.01,0.0,6,5,0,1,0,0,2.5159630461161027,1.0625215951241984,16.86017808882143,0.7278045715690095,0.5025872430875111,1.758012425151372,5.8025980274562485,0.027083333333333334,0.0
29,pid_kp0.300_ki0.010_kd0.050,pid,0.3,0.01,0.05,6,5,0,1,0,0,2.509484126316724,1.057576691137135,16.860570395178915,0.7347013091166369,0.5080277015884143,1.8067883441007961,5.9948664058109316,0.027083333333333334,0.0
30,pid_kp0.350_ki0.010_kd0.200,pid,0.35,0.01,0.2,6,5,0,1,0,0,2.5141937931233627,1.0617688049694827,16.93882197062668,0.7393162899604092,0.5151747679997241,1.9945904944822488,6.235541593419587,0.027083333333333334,0.0
31,pid_kp0.300_ki0.010_kd0.100,pid,0.3,0.01,0.1,6,5,0,1,0,0,2.5063142251956814,1.054434706196057,16.86100312383853,0.7420568901124609,0.51359575029038,1.860274820904948,6.143134060413388,0.027083333333333334,0.0
32,pid_kp0.300_ki0.010_kd0.200,pid,0.3,0.01,0.2,6,5,0,1,0,0,2.510542984647747,1.0612197452754308,16.913528476933962,0.7584084245815874,0.5247985686127258,2.0032064471117494,6.275122130090075,0.027083333333333334,0.0
33,pi_kp0.200_ki0.010_kd0.000,pi,0.2,0.01,0.0,6,5,0,1,0,0,2.5179505134079925,1.0706546742870697,16.857581643827107,0.7713784935107594,0.5213509491062019,1.9353729828598396,6.4680105939002,0.027083333333333334,0.0
34,pid_kp0.200_ki0.010_kd0.050,pid,0.2,0.01,0.05,6,5,0,1,0,0,2.5118462391530283,1.0659537929582574,16.857582947098493,0.7787929739167385,0.5273043509714039,1.9377470475225003,6.3728051773649845,0.027083333333333334,0.0
35,pid_kp0.200_ki0.010_kd0.100,pid,0.2,0.01,0.1,6,5,0,1,0,0,2.508965513294363,1.0627967259238844,16.857620893499934,0.7865060152227873,0.5333311287317827,1.9729881465399692,6.447256246603754,0.027083333333333334,0.0
36,pid_kp0.200_ki0.010_kd0.200,pid,0.2,0.01,0.2,6,5,0,1,0,0,2.5128928924604885,1.0686524212546151,16.863640570475475,0.8027119437562559,0.5453660666043549,2.0600777335159375,6.4597483356517635,0.027083333333333334,0.0
37,pi_kp0.100_ki0.010_kd0.000,pi,0.1,0.01,0.0,6,5,0,1,0,0,2.5346947677087934,1.0882880635784666,16.868872886163423,0.821273105348447,0.5413324327981143,2.134886285398369,7.190054750480645,0.027083333333333334,0.0
38,pid_kp0.100_ki0.010_kd0.050,pid,0.1,0.01,0.05,6,5,0,1,0,0,2.5292670128651547,1.083586912989357,16.868790671457834,0.8295364102388353,0.5479823489129548,2.1053777653407795,6.891381170816668,0.027083333333333334,0.0
39,pid_kp0.100_ki0.010_kd0.100,pid,0.1,0.01,0.1,6,5,0,1,0,0,2.527030460180247,1.081195477963102,16.868736992912755,0.8379296757189277,0.5546325139038224,2.1235943397902517,6.886921041876832,0.027083333333333334,0.0
40,pi_kp0.500_ki0.015_kd0.000,pi,0.5,0.015,0.0,6,5,0,1,0,0,2.632746478634199,1.1696666237258337,16.939392515030246,0.8391511312089643,0.53640450432757,2.244232919860277,7.73646002163953,0.03125000000000001,0.0
41,pid_kp0.100_ki0.010_kd0.200,pid,0.1,0.01,0.2,6,5,0,1,0,0,2.531748730987141,1.0933242936445124,16.868725105814132,0.8549778768325682,0.5677719364602997,2.161745757652794,6.769790533187603,0.027083333333333334,0.0
42,pi_kp0.350_ki0.015_kd0.000,pi,0.35,0.015,0.0,6,5,0,1,0,0,2.6373173776746976,1.1736081750695306,16.931825740394235,0.8985288068249057,0.5529569726276641,2.4579218724961147,8.36256150189909,0.03125000000000001,0.0
43,pid_kp0.350_ki0.015_kd0.050,pid,0.35,0.015,0.05,6,5,0,1,0,0,2.632346867224644,1.1680630484984087,16.9325040126941,0.9037809532955793,0.5569689478092316,2.518582371530473,8.624252966679585,0.03125000000000001,0.0
44,pid_kp0.350_ki0.015_kd0.100,pid,0.35,0.015,0.1,6,5,0,1,0,0,2.6296912754595128,1.1643920494237696,16.933219955850284,0.9106973993651571,0.56149795001055,2.6169536861419913,9.002031417827105,0.02916666666666667,0.0
45,pi_kp0.300_ki0.015_kd0.000,pi,0.3,0.015,0.0,6,5,0,1,0,0,2.642425732781017,1.1765535841962347,16.931372360268394,0.920732960110915,0.5585677321787207,2.5796261664107,8.867557314205271,0.03125000000000001,0.0
46,pid_kp0.300_ki0.015_kd0.050,pid,0.3,0.015,0.05,6,5,0,1,0,0,2.636666700107942,1.1711029606597496,16.931998810785988,0.9265409775797068,0.5629394924496198,2.5965602368143728,8.85193685333013,0.02916666666666667,0.0
47,pid_kp0.350_ki0.015_kd0.200,pid,0.35,0.015,0.2,6,5,0,1,0,0,2.6301832178993427,1.1691244958185505,16.962474058732933,0.9344839803842655,0.5752210317725085,2.8515095666355994,9.523569117839553,0.027083333333333334,0.0
48,pid_kp0.300_ki0.015_kd0.100,pid,0.3,0.015,0.1,6,5,0,1,0,0,2.6320154327915852,1.167486663220264,16.932665565316604,0.934929770797666,0.5690980955294181,2.6808634622497416,9.156505047466858,0.027083333333333334,0.0
49,pid_kp0.300_ki0.015_kd0.200,pid,0.3,0.015,0.2,6,5,0,1,0,0,2.631534589085942,1.1723861030957543,16.93579990033319,0.9579229448079335,0.5868862893116266,2.879821014104311,9.588647655538644,0.027083333333333334,0.0
50,pi_kp0.200_ki0.015_kd0.000,pi,0.2,0.015,0.0,6,5,0,1,0,0,2.6580024688654924,1.195772511531845,16.935401373062362,0.9708202177348296,0.5820029084920403,2.8342074463660776,9.879046831836835,0.02916666666666667,0.0
51,pid_kp0.200_ki0.015_kd0.050,pid,0.2,0.015,0.05,6,5,0,1,0,0,2.650593471785659,1.1919430724035134,16.93582299155194,0.9787787840063348,0.5909251522715885,2.789024552898237,9.444345848924641,0.02916666666666667,0.0
52,pid_kp0.200_ki0.015_kd0.100,pid,0.2,0.015,0.1,6,5,0,1,0,0,2.645609716888653,1.1902939356899553,16.936286600214142,0.989198458772896,0.6005364318875097,2.848891923922292,9.621771033914069,0.027083333333333334,0.0
53,pid_kp0.200_ki0.015_kd0.200,pid,0.2,0.015,0.2,6,5,0,1,0,0,2.644724925756838,1.1944312743497503,16.93736245595817,1.0123413286236145,0.6201479837224882,2.987133372939665,9.87685474354532,0.027083333333333334,0.0
54,pi_kp0.100_ki0.015_kd0.000,pi,0.1,0.015,0.0,6,5,0,1,0,0,2.6851374281833666,1.229437732498086,16.94875557944327,1.0295645136417308,0.6149422390156771,3.1097310109267187,10.893362412713348,0.02916666666666667,0.0
55,pid_kp0.100_ki0.015_kd0.050,pid,0.1,0.015,0.05,6,5,0,1,0,0,2.6779694057169317,1.2257297434223986,16.949019308427072,1.039854359970624,0.6255293814908027,3.030174497837184,10.223553874378094,0.027083333333333334,0.0
56,pid_kp0.100_ki0.015_kd0.100,pid,0.1,0.015,0.1,6,5,0,1,0,0,2.6733964156773253,1.2239024638650093,16.949472733734137,1.05190952092344,0.6365727882052685,3.070663248251364,10.292290634774865,0.027083333333333334,0.0
57,pid_kp0.100_ki0.015_kd0.200,pid,0.1,0.015,0.2,6,5,0,1,0,0,2.6733101480320784,1.2309852922459712,16.95049853159135,1.0765500399412073,0.6584188365118623,3.1551764439392547,10.36094496537051,0.027083333333333334,0.0
58,pi_kp0.500_ki0.030_kd0.000,pi,0.5,0.03,0.0,6,5,1,0,0,0,2.923452422087543,1.4227438050539052,17.044162534034815,1.2298452951059977,0.6791662041478425,4.596027896289669,18.19445691711927,0.03333333333333333,0.0
59,pi_kp0.350_ki0.030_kd0.000,pi,0.35,0.03,0.0,6,5,1,0,0,0,2.958693437395666,1.4541576998049521,17.04429972321745,1.3007610618269316,0.7028336810212693,5.023205208059799,19.73468116194159,0.03333333333333333,0.0
60,pi_kp0.300_ki0.030_kd0.000,pi,0.3,0.03,0.0,6,5,1,0,0,0,2.974550205622423,1.4660218930315123,17.044825081082067,1.3262356512660218,0.7104154761164704,5.163374927942615,20.24881026872356,0.03333333333333333,0.0
61,pi_kp0.200_ki0.030_kd0.000,pi,0.2,0.03,0.0,6,5,1,0,0,0,3.0127851895198776,1.491473517461195,17.051985011663643,1.3808671959810077,0.7258184457124254,5.449806375384008,21.276222592169376,0.03125000000000001,0.0
62,pi_kp0.100_ki0.030_kd0.000,pi,0.1,0.03,0.0,6,5,1,0,0,0,3.0616444400261575,1.5207454901716568,17.062346300510317,1.4416184649127761,0.7404398764139764,5.755493628092147,22.30488201072472,0.03125000000000001,0.0
