candidate_id,family,kp,ki,kd,profile,calibrated_status,full_rmse,full_mae,full_max_abs_error,settled_rmse,settled_mae,settled_max_abs_error,rate_limit_fraction,saturation_fraction,max_abs_error_step,max_abs_error_is_rate_limited_transition,abs_target_delta,calibration_reasons
p_kp0.100_ki0.000_kd0.000,p,0.1,0.0,0.0,hold-y-eq,PASS,0.07144362562861091,0.07144344127663356,0.07146208364578399,0.07144362562861091,0.07144344127663356,0.07146208364578399,0.0,0.0,8,False,0.0,calibrated case passed
p_kp0.100_ki0.000_kd0.000,p,0.1,0.0,0.0,step64-96,PASS,2.0168083496625897,0.31469565124063886,17.894571215356535,0.06515864736974702,0.06431841877867175,0.07060812917004,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.100_ki0.000_kd0.000,p,0.1,0.0,0.0,step96-64,PASS,2.0018225625627384,0.29945648875684927,17.77689162018781,0.05432859934242586,0.053328430611695885,0.07060775710122869,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.100_ki0.000_kd0.000,p,0.1,0.0,0.0,multistep,EXPLAINED_TRANSIENT,7.842419533045425,1.8835823242553318,51.77100764042936,0.056467333230352815,0.05392667467996284,0.07649177195685297,0.0875,0.0,35,True,66.0,max full-window error is explained by rate-limited target-change transient
p_kp0.100_ki0.000_kd0.000,p,0.1,0.0,0.0,lower-range,PASS,1.3892167567105436,0.2325259862077697,11.800427539221545,0.03544864748092478,0.034157230090368855,0.047071838067495264,0.025,0.0,20,True,26.0,calibrated case passed
p_kp0.100_ki0.000_kd0.000,p,0.1,0.0,0.0,sine-approx,PASS,0.07725790175773854,0.062487118771136975,0.13481805183134554,0.05187324082275779,0.05187324082275779,0.05187324082275779,0.0,0.0,42,False,3.479364128750383,calibrated case passed
p_kp0.200_ki0.000_kd0.000,p,0.2,0.0,0.0,hold-y-eq,PASS,0.06559761165017915,0.06559573036226567,0.0700011826243383,0.06559761165017915,0.06559573036226567,0.0700011826243383,0.0,0.0,0,False,0.0,calibrated case passed
p_kp0.200_ki0.000_kd0.000,p,0.2,0.0,0.0,step64-96,PASS,2.0161453705790566,0.3091839575805911,17.89067270228358,0.05979881633306909,0.059040770275708025,0.06480560523620227,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.200_ki0.000_kd0.000,p,0.2,0.0,0.0,step96-64,PASS,2.002546786259283,0.29763728103562903,17.78273938979723,0.0499257481698081,0.048984183740586974,0.06916432109701987,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.200_ki0.000_kd0.000,p,0.2,0.0,0.0,multistep,EXPLAINED_TRANSIENT,7.8436992199245426,1.8887961246744993,51.77734272417291,0.05179600904625195,0.04926692800165973,0.07015762597998787,0.0875,0.0,35,True,66.0,max full-window error is explained by rate-limited target-change transient
p_kp0.200_ki0.000_kd0.000,p,0.2,0.0,0.0,lower-range,PASS,1.393354090064397,0.2434298343718917,11.804326052294499,0.03258922590923335,0.03138462853932265,0.046109547398010875,0.025,0.0,20,True,26.0,calibrated case passed
p_kp0.200_ki0.000_kd0.000,p,0.2,0.0,0.0,sine-approx,PASS,0.17504041724331265,0.1540104312613403,0.28783918178673673,0.05187324082275779,0.05187324082275779,0.05187324082275779,0.0,0.0,20,False,2.863716693457775,calibrated case passed
p_kp0.300_ki0.000_kd0.000,p,0.3,0.0,0.0,hold-y-eq,PASS,0.06064215901408923,0.060632768336174966,0.0700011826243383,0.06064215901408923,0.060632768336174966,0.0700011826243383,0.0,0.0,0,False,0.0,calibrated case passed
p_kp0.300_ki0.000_kd0.000,p,0.3,0.0,0.0,step64-96,PASS,2.0158431252780655,0.30765168240742957,17.88737055175629,0.05527204173823931,0.054577274411037234,0.061085628699487415,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.300_ki0.000_kd0.000,p,0.3,0.0,0.0,step96-64,PASS,2.0034005489419466,0.2963991282420072,17.787692615588156,0.04617967335776341,0.04528047358173448,0.06916432109701987,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.300_ki0.000_kd0.000,p,0.3,0.0,0.0,multistep,EXPLAINED_TRANSIENT,7.8465856377721215,1.9101060970611137,51.78270871877976,0.04915618879031144,0.046982848016487055,0.08334393921262517,0.0875,0.0,35,True,66.0,max full-window error is explained by rate-limited target-change transient
p_kp0.300_ki0.000_kd0.000,p,0.3,0.0,0.0,lower-range,PASS,1.4111370063506794,0.2712201856051159,11.807628202821775,0.03016916770357582,0.02903673212344093,0.046109547398010875,0.025,0.0,20,True,26.0,calibrated case passed
p_kp0.300_ki0.000_kd0.000,p,0.3,0.0,0.0,sine-approx,PASS,0.36046806894422617,0.32139980432155707,0.5539589226048633,0.05187324082275779,0.05187324082275779,0.05187324082275779,0.0,0.0,60,False,2.863716693457775,calibrated case passed
p_kp0.350_ki0.000_kd0.000,p,0.35,0.0,0.0,hold-y-eq,PASS,0.05843774554081607,0.05842261455296267,0.0700011826243383,0.05843774554081607,0.05842261455296267,0.0700011826243383,0.0,0.0,0,False,0.0,calibrated case passed
p_kp0.350_ki0.000_kd0.000,p,0.35,0.0,0.0,step64-96,PASS,2.015825112412778,0.3072305110276422,17.885901925081626,0.05327860984097661,0.0526075195109533,0.06106661665472757,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.350_ki0.000_kd0.000,p,0.35,0.0,0.0,step96-64,PASS,2.003891204047148,0.29658915758931237,17.789895555600154,0.044499446190927744,0.043612810301507446,0.06916432109701987,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.350_ki0.000_kd0.000,p,0.35,0.0,0.0,multistep,EXPLAINED_TRANSIENT,7.84869785928003,1.9225420589652635,51.785095237126995,0.05035493152134333,0.04666302955452677,0.15332754794125947,0.0875,0.0,35,True,66.0,max full-window error is explained by rate-limited target-change transient
p_kp0.350_ki0.000_kd0.000,p,0.35,0.0,0.0,lower-range,PASS,1.4254852783433007,0.2871786423985557,11.809096829496447,0.02910678028922235,0.028005854876554537,0.046109547398010875,0.025,0.0,20,True,26.0,calibrated case passed
p_kp0.350_ki0.000_kd0.000,p,0.35,0.0,0.0,sine-approx,PASS,0.44448703303675,0.39662593471072966,0.7093075016300645,0.05187324082275779,0.05187324082275779,0.05187324082275779,0.0,0.0,1,False,3.754427160965548,calibrated case passed
p_kp0.500_ki0.000_kd0.000,p,0.5,0.0,0.0,hold-y-eq,PASS,0.052704163528242365,0.05266353738384914,0.0700011826243383,0.052704163528242365,0.05266353738384914,0.0700011826243383,0.0,0.0,0,False,0.0,calibrated case passed
p_kp0.500_ki0.000_kd0.000,p,0.5,0.0,0.0,step64-96,PASS,2.016352133898407,0.30775643142251463,17.882080600001046,0.04837204815084861,0.04764016408629781,0.07826050705259036,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.500_ki0.000_kd0.000,p,0.5,0.0,0.0,step96-64,PASS,2.0057268114191524,0.2986703890984114,17.79562754322103,0.04011360606686478,0.03910109303026,0.06916432109701987,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.500_ki0.000_kd0.000,p,0.5,0.0,0.0,multistep,EXPLAINED_TRANSIENT,7.858352652190486,1.9741799618435345,51.79130490253087,0.07531728896666524,0.049694892423226326,0.46590072356238466,0.0875,0.0,35,True,66.0,max full-window error is explained by rate-limited target-change transient
p_kp0.500_ki0.000_kd0.000,p,0.5,0.0,0.0,lower-range,PASS,1.4906102772630936,0.3494286402534572,11.812918154577034,0.02729016772444214,0.025510467370615138,0.06821010692019058,0.0375,0.0,20,True,26.0,calibrated case passed
p_kp0.500_ki0.000_kd0.000,p,0.5,0.0,0.0,sine-approx,PASS,0.6653007103086875,0.5930822936782232,1.21432627169132,0.05187324082275779,0.05187324082275779,0.05187324082275779,0.0,0.0,1,False,3.754427160965548,calibrated case passed
p_kp0.750_ki0.000_kd0.000,p,0.75,0.0,0.0,hold-y-eq,PASS,0.04535582558609232,0.04523203736133254,0.0700011826243383,0.04535582558609232,0.04523203736133254,0.0700011826243383,0.0,0.0,0,False,0.0,calibrated case passed
p_kp0.750_ki0.000_kd0.000,p,0.75,0.0,0.0,step64-96,PASS,2.0200790111663114,0.31926172860331226,17.877161020395064,0.05139644200758928,0.04421726973134355,0.2467143479031506,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.750_ki0.000_kd0.000,p,0.75,0.0,0.0,step96-64,PASS,2.01111292472072,0.31209610895501394,17.803006912629996,0.04345214528518697,0.037562643229324996,0.17255958001635463,0.025,0.0,20,True,32.0,calibrated case passed
p_kp0.750_ki0.000_kd0.000,p,0.75,0.0,0.0,multistep,EXPLAINED_TRANSIENT,7.8931979971654895,2.1348655879218574,51.799473597358556,0.22411278028959586,0.10127602778949332,1.3297965660405424,0.0875,0.0,35,True,66.0,max full-window error is explained by rate-limited target-change transient
