rank,candidate_id,prediction_horizon,control_horizon,tracking_error_weight,control_effort_weight,control_delta_weight,soft_constraint_weight,case_count,pass_count,settled_warn_count,explained_transient_count,unexplained_fail_count,average_full_rmse,average_full_mae,average_full_max_abs_error,average_settled_rmse,average_settled_mae,average_settled_max_abs_error,worst_settled_max_abs_error,average_rate_limit_fraction,average_saturation_fraction,settled_rmse_ratio_vs_baseline,closed_loop_simulated,performance_claim
1,mpc_skeleton_ph05_ch01_q1.000_r0.010_du0.100_sc100.0,5,1,1.0,0.01,0.1,100.0,6,2,3,0,1,3.1953812821459353,1.8119155000023677,16.693033455728127,2.8602488632030694,1.4418061904721784,15.886322332759164,40.161482714636776,0.0,0.0,59.681614213125606,True,False
2,mpc_skeleton_ph05_ch01_q1.000_r0.050_du0.100_sc100.0,5,1,1.0,0.05,0.1,100.0,6,2,3,0,1,3.1953812821459353,1.8119155000023677,16.693033455728127,2.8602488632030694,1.4418061904721784,15.886322332759164,40.161482714636776,0.0,0.0,59.681614213125606,True,False
3,mpc_skeleton_ph05_ch03_q1.000_r0.010_du0.100_sc100.0,5,3,1.0,0.01,0.1,100.0,6,2,3,0,1,3.1953812821459353,1.8119155000023677,16.693033455728127,2.8602488632030694,1.4418061904721784,15.886322332759164,40.161482714636776,0.0,0.0,59.681614213125606,True,False
4,mpc_skeleton_ph05_ch03_q1.000_r0.050_du0.100_sc100.0,5,3,1.0,0.05,0.1,100.0,6,2,3,0,1,3.1953812821459353,1.8119155000023677,16.693033455728127,2.8602488632030694,1.4418061904721784,15.886322332759164,40.161482714636776,0.0,0.0,59.681614213125606,True,False
5,mpc_skeleton_ph10_ch01_q1.000_r0.010_du0.100_sc100.0,10,1,1.0,0.01,0.1,100.0,6,1,1,1,3,6.2320561214947565,3.7606233421845205,23.149329687779954,5.153556329193821,2.740736057873745,20.973630607369046,53.94963351806703,0.0,0.0,107.53349634063663,True,False
6,mpc_skeleton_ph10_ch01_q1.000_r0.050_du0.100_sc100.0,10,1,1.0,0.05,0.1,100.0,6,1,1,1,3,6.2320561214947565,3.7606233421845205,23.149329687779954,5.153556329193821,2.740736057873745,20.973630607369046,53.94963351806703,0.0,0.0,107.53349634063663,True,False
7,mpc_skeleton_ph10_ch03_q1.000_r0.010_du0.100_sc100.0,10,3,1.0,0.01,0.1,100.0,6,1,1,1,3,6.2320561214947565,3.7606233421845205,23.149329687779954,5.153556329193821,2.740736057873745,20.973630607369046,53.94963351806703,0.0,0.0,107.53349634063663,True,False
8,mpc_skeleton_ph10_ch03_q1.000_r0.050_du0.100_sc100.0,10,3,1.0,0.05,0.1,100.0,6,1,1,1,3,6.2320561214947565,3.7606233421845205,23.149329687779954,5.153556329193821,2.740736057873745,20.973630607369046,53.94963351806703,0.0,0.0,107.53349634063663,True,False
9,mpc_skeleton_ph15_ch01_q1.000_r0.010_du0.100_sc100.0,15,1,1.0,0.01,0.1,100.0,6,1,1,1,3,8.67051093771019,5.684328852184623,25.73237405579078,6.831349137785677,4.095130591413996,22.219326851455484,57.51375126429117,0.0,0.0,142.54212248507662,True,False
10,mpc_skeleton_ph15_ch01_q1.000_r0.050_du0.100_sc100.0,15,1,1.0,0.05,0.1,100.0,6,1,1,1,3,8.67051093771019,5.684328852184623,25.73237405579078,6.831349137785677,4.095130591413996,22.219326851455484,57.51375126429117,0.0,0.0,142.54212248507662,True,False
11,mpc_skeleton_ph15_ch03_q1.000_r0.010_du0.100_sc100.0,15,3,1.0,0.01,0.1,100.0,6,1,1,1,3,8.67051093771019,5.684328852184623,25.73237405579078,6.831349137785677,4.095130591413996,22.219326851455484,57.51375126429117,0.0,0.0,142.54212248507662,True,False
12,mpc_skeleton_ph15_ch03_q1.000_r0.050_du0.100_sc100.0,15,3,1.0,0.05,0.1,100.0,6,1,1,1,3,8.67051093771019,5.684328852184623,25.73237405579078,6.831349137785677,4.095130591413996,22.219326851455484,57.51375126429117,0.0,0.0,142.54212248507662,True,False
