timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T08:59:02Z,0,0,1,1721,1721,0,0,32,1,0,
2026-06-20T08:59:08Z,6,1,1,1727,1727,0,0,32,1,0,
2026-06-20T08:59:14Z,12,2,1,1733,1733,0,0,32,1,0,
2026-06-20T08:59:20Z,18,3,1,1739,1739,0,0,32,1,0,
2026-06-20T08:59:26Z,24,4,1,1745,1745,0,0,32,1,0,
2026-06-20T08:59:32Z,30,5,1,1751,1751,0,0,32,1,0,
2026-06-20T08:59:38Z,36,6,1,1757,1757,0,0,32,1,0,
2026-06-20T08:59:44Z,42,7,1,1763,1763,0,0,32,1,0,
2026-06-20T08:59:50Z,48,8,1,1769,1769,0,0,32,1,0,
2026-06-20T08:59:56Z,54,9,1,1775,1775,0,0,32,1,0,
2026-06-20T09:00:02Z,60,10,1,1781,1781,0,0,32,1,0,
