timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T09:21:17Z,0,0,2,1937,1937,0,0,32,2,0,
2026-06-20T09:21:23Z,6,1,2,1949,1949,0,0,32,2,0,
2026-06-20T09:21:29Z,12,2,2,1961,1961,0,0,32,2,0,
2026-06-20T09:21:35Z,18,3,2,1973,1973,0,0,32,2,0,
2026-06-20T09:21:41Z,24,4,2,1986,1986,0,0,32,2,0,
2026-06-20T09:21:47Z,30,5,2,1998,1998,0,0,32,2,0,
2026-06-20T09:21:53Z,36,6,2,2010,2010,0,0,32,2,0,
2026-06-20T09:21:59Z,42,7,2,2022,2022,0,0,32,2,0,
2026-06-20T09:22:05Z,48,8,2,2034,2034,0,0,32,2,0,
2026-06-20T09:22:11Z,54,9,2,2046,2046,0,0,32,2,0,
2026-06-20T09:22:17Z,60,10,2,2058,2058,0,0,32,2,0,
