MemTotal:       197480828 kB
MemFree:        84859900 kB
MemAvailable:   165725344 kB
Buffers:            3892 kB
Cached:         82730024 kB
SwapCached:            0 kB
Active:         29365568 kB
Inactive:       81118316 kB
Active(anon):   28761100 kB
Inactive(anon):        0 kB
Active(file):     604468 kB
Inactive(file): 81118316 kB
Unevictable:        3072 kB
Mlocked:               0 kB
SwapTotal:       4194300 kB
SwapFree:        4194300 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:      27752460 kB
Mapped:           303032 kB
Shmem:           1011132 kB
KReclaimable:     596868 kB
Slab:            1044944 kB
SReclaimable:     596868 kB
SUnreclaim:       448076 kB
KernelStack:       14880 kB
PageTables:        72824 kB
SecPageTables:     22948 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    102934712 kB
Committed_AS:   37108032 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      281052 kB
VmallocChunk:          0 kB
Percpu:            52992 kB
HardwareCorrupted:     0 kB
AnonHugePages:  27359232 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      486336 kB
DirectMap2M:    13099008 kB
DirectMap1G:    189792256 kB
