timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T11:17:21Z,0,0,16,6618,6618,0,0,32,16,0,
2026-06-20T11:17:27Z,6,1,16,6714,6714,0,0,32,16,0,
2026-06-20T11:17:33Z,12,2,16,6810,6810,0,0,32,16,0,
2026-06-20T11:17:39Z,18,3,16,6905,6905,0,0,32,16,0,
2026-06-20T11:17:45Z,24,4,16,7001,7001,0,0,32,16,0,
2026-06-20T11:17:51Z,30,5,16,7098,7098,0,0,32,16,0,
2026-06-20T11:17:57Z,36,6,16,7195,7195,0,0,32,16,0,
2026-06-20T11:18:03Z,42,7,16,7291,7291,0,0,32,16,0,
2026-06-20T11:18:09Z,48,8,16,7388,7388,0,0,32,16,0,
2026-06-20T11:18:15Z,54,9,16,7484,7484,0,0,32,16,0,
2026-06-20T11:18:21Z,60,10,16,7581,7581,0,0,32,16,0,
