timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T11:27:02Z,0,0,16,9809,9809,0,0,32,16,0,
2026-06-20T11:27:08Z,6,1,16,9905,9905,0,0,32,16,0,
2026-06-20T11:27:14Z,12,2,16,10001,10001,0,0,32,16,0,
2026-06-20T11:27:20Z,18,3,16,10097,10097,0,0,32,16,0,
2026-06-20T11:27:26Z,24,4,16,10193,10193,0,0,32,16,0,
2026-06-20T11:27:32Z,30,5,16,10290,10290,0,0,32,16,0,
2026-06-20T11:27:38Z,36,6,16,10385,10385,0,0,32,16,0,
2026-06-20T11:27:44Z,42,7,16,10482,10482,0,0,32,16,0,
2026-06-20T11:27:50Z,48,8,16,10578,10577,0,1,32,16,0,
2026-06-20T11:27:56Z,54,9,16,10673,10673,0,0,32,16,0,
2026-06-20T11:28:02Z,60,10,16,10769,10769,0,0,32,16,0,
