timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T11:35:13Z,0,0,32,11949,11948,0,1,32,32,0,
2026-06-20T11:35:19Z,6,1,32,12141,12141,0,0,32,32,0,
2026-06-20T11:35:25Z,12,2,32,12333,12333,0,0,32,32,0,
2026-06-20T11:35:31Z,18,3,32,12525,12525,0,0,32,32,0,
2026-06-20T11:35:37Z,24,4,32,12717,12717,0,0,32,32,0,
2026-06-20T11:35:43Z,30,5,32,12909,12909,0,0,32,32,0,
2026-06-20T11:35:49Z,36,6,32,13102,13102,0,0,32,32,0,
2026-06-20T11:35:55Z,42,7,32,13296,13296,0,0,32,32,0,
2026-06-20T11:36:01Z,48,8,32,13491,13490,0,1,32,32,0,
2026-06-20T11:36:07Z,54,9,32,13682,13682,0,0,32,32,0,
2026-06-20T11:36:13Z,60,10,32,13874,13874,0,0,32,32,0,
