timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T11:48:47Z,0,0,32,20691,20691,0,0,32,32,0,
2026-06-20T11:48:53Z,6,1,32,20881,20881,0,0,32,32,0,
2026-06-20T11:48:59Z,12,2,32,21073,21073,0,0,32,32,0,
2026-06-20T11:49:05Z,18,3,32,21265,21265,0,0,32,32,0,
2026-06-20T11:49:11Z,24,4,32,21459,21459,0,0,32,32,0,
2026-06-20T11:49:17Z,30,5,32,21651,21651,0,0,32,32,0,
2026-06-20T11:49:23Z,36,6,32,21844,21844,0,0,32,32,0,
2026-06-20T11:49:29Z,42,7,32,22038,22038,0,0,32,32,0,
2026-06-20T11:49:35Z,48,8,32,22230,22230,0,0,32,32,0,
2026-06-20T11:49:41Z,54,9,32,22422,22422,0,0,32,32,0,
2026-06-20T11:49:47Z,60,10,32,22617,22617,0,0,32,32,0,
