timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T12:02:29Z,0,0,64,22972,22972,0,0,32,64,0,
2026-06-20T12:02:35Z,6,1,64,23360,23360,0,0,32,64,0,
2026-06-20T12:02:41Z,12,2,64,23746,23746,0,0,32,64,0,
2026-06-20T12:02:47Z,18,3,64,24132,24132,0,0,32,64,0,
2026-06-20T12:02:53Z,24,4,64,24518,24518,0,0,32,64,0,
2026-06-20T12:02:59Z,30,5,64,24901,24901,0,0,32,64,0,
2026-06-20T12:03:05Z,36,6,64,25289,25289,0,0,32,64,0,
2026-06-20T12:03:11Z,42,7,64,25669,25669,0,0,32,64,0,
2026-06-20T12:03:17Z,48,8,64,26057,26057,0,1,32,64,0,
2026-06-20T12:03:23Z,54,9,64,26439,26438,0,1,32,64,0,
2026-06-20T12:03:29Z,60,10,64,26825,26825,0,0,32,64,0,
