timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T12:41:29Z,0,0,64,31706,31706,0,0,32,64,0,
2026-06-20T12:41:35Z,6,1,64,32089,32089,0,0,32,64,0,
2026-06-20T12:41:41Z,12,2,64,32471,32471,0,0,32,64,0,
2026-06-20T12:41:47Z,18,3,64,32857,32857,0,0,32,64,0,
2026-06-20T12:41:53Z,24,4,64,33247,33247,0,0,32,64,0,
2026-06-20T12:41:59Z,30,5,64,33631,33631,0,0,32,64,0,
2026-06-20T12:42:05Z,36,6,64,34014,34014,0,0,32,64,0,
2026-06-20T12:42:11Z,42,7,64,34396,34395,0,1,32,64,0,
2026-06-20T12:42:17Z,48,8,64,34780,34780,0,0,32,64,0,
2026-06-20T12:42:23Z,54,9,64,35168,35168,0,0,32,64,0,
2026-06-20T12:42:29Z,60,10,64,35551,35551,0,0,32,64,0,
