timestamp_utc,elapsed_seconds,sample_index,target_lambda,sent_total,ok_total,err_total,inflight,inflight_max,sent_per_sec,err_per_sec,last_err
2026-06-20T12:49:47Z,0,0,128,44990,44989,0,1,32,128,0,
2026-06-20T12:49:53Z,6,1,128,45758,45758,0,0,32,128,0,
2026-06-20T12:49:59Z,12,2,128,46527,46527,0,0,32,128,0,
2026-06-20T12:50:05Z,18,3,128,47306,47306,0,0,32,128,0,
2026-06-20T12:50:11Z,24,4,128,48066,48066,0,0,32,128,0,
2026-06-20T12:50:17Z,30,5,128,48819,48819,0,0,32,128,0,
2026-06-20T12:50:23Z,36,6,128,49589,49588,0,1,32,128,0,
2026-06-20T12:50:29Z,42,7,128,50360,50359,0,1,32,128,0,
2026-06-20T12:50:35Z,48,8,128,51141,51140,0,1,32,128,0,
2026-06-20T12:50:41Z,54,9,128,51910,51910,0,0,32,128,0,
2026-06-20T12:50:47Z,60,10,128,52682,52682,0,0,32,128,0,
